mavpackettype,index,frequency,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q,x,y,z,vx,vy,vz,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
LOCAL_POSITION_NED,2,0.4783719480037689,243180,-0.4458354115486145,0.05281746760010719,-0.22113169729709625,-0.865760862827301,0.0026632421649992466,0.011185618117451668,-0.007190754171460867,"[0.0, 0.0, 0.0, 0.0]",-10.601813316345215,3.2134430408477783,0.0,0.00026960388640873134,-0.00033827670267783105,0.0,243119005,3,369992735,-1220636548,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,0.4783719480037689,243180,-0.4458354115486145,0.05281746760010719,-0.22113169729709625,-0.865760862827301,0.0026632421649992466,0.011185618117451668,-0.007190754171460867,"[0.0, 0.0, 0.0, 0.0]",-10.601813316345215,3.2134430408477783,0.0,0.00026960388640873134,-0.00033827670267783105,0.0,243220005,3,369992735,-1220636548,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.0,243180,-0.4458354115486145,0.05281746760010719,-0.22113169729709625,-0.865760862827301,0.0026632421649992466,0.011185618117451668,-0.007190754171460867,"[0.0, 0.0, 0.0, 0.0]",-10.601813316345215,3.2134430408477783,0.0,0.00026960388640873134,-0.00033827670267783105,0.0,243220005,3,369992735,-1220636548,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,-0.0003834952076431364,243180,-0.4458354115486145,0.05281746760010719,-0.22113169729709625,-0.865760862827301,0.0026632421649992466,0.011185618117451668,-0.007190754171460867,"[0.0, 0.0, 0.0, 0.0]",-10.601813316345215,3.2134430408477783,0.0,0.00026960388640873134,-0.00033827670267783105,0.0,243220005,3,369992735,-1220636548,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.47863081097602844,243180,-0.4458354115486145,0.05281746760010719,-0.22113169729709625,-0.865760862827301,0.0026632421649992466,0.011185618117451668,-0.007190754171460867,"[0.0, 0.0, 0.0, 0.0]",-10.601813316345215,3.2134430408477783,0.0,0.00026960388640873134,-0.00033827670267783105,0.0,243220005,3,369992735,-1220636548,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.47863081097602844,243231,-0.4459041953086853,0.05310273915529251,-0.221368670463562,-0.8656474351882935,0.006391781847923994,0.011718266643583775,-0.007190754171460867,"[0.0, 0.0, 0.0, 0.0]",-10.601813316345215,3.2134430408477783,0.0,0.00026960388640873134,-0.00033827670267783105,0.0,243220005,3,369992735,-1220636548,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.47863081097602844,243231,-0.4459041953086853,0.05310273915529251,-0.221368670463562,-0.8656474351882935,0.006391781847923994,0.011718266643583775,-0.007190754171460867,"[0.0, 0.0, 0.0, 0.0]",-10.601798057556152,3.21342396736145,0.0,0.0002919525431934744,-0.00036626175278797746,0.0,243220005,3,369992735,-1220636548,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,-0.0003834952076431364,243231,-0.4459041953086853,0.05310273915529251,-0.221368670463562,-0.8656474351882935,0.006391781847923994,0.011718266643583775,-0.007190754171460867,"[0.0, 0.0, 0.0, 0.0]",-10.601798057556152,3.21342396736145,0.0,0.0002919525431934744,-0.00036626175278797746,0.0,243220005,3,369992735,-1220636548,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,-0.0011504855938255787,243231,-0.4459041953086853,0.05310273915529251,-0.221368670463562,-0.8656474351882935,0.006391781847923994,0.011718266643583775,-0.007190754171460867,"[0.0, 0.0, 0.0, 0.0]",-10.601798057556152,3.21342396736145,0.0,0.0002919525431934744,-0.00036626175278797746,0.0,243220005,3,369992735,-1220636548,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.47888967394828796,243231,-0.4459041953086853,0.05310273915529251,-0.221368670463562,-0.8656474351882935,0.006391781847923994,0.011718266643583775,-0.007190754171460867,"[0.0, 0.0, 0.0, 0.0]",-10.601798057556152,3.21342396736145,0.0,0.0002919525431934744,-0.00036626175278797746,0.0,243220005,3,369992735,-1220636548,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.47888967394828796,243282,-0.445759654045105,0.05307053029537201,-0.22175657749176025,-0.8656244874000549,0.0034622149541974068,0.010120321065187454,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601798057556152,3.21342396736145,0.0,0.0002919525431934744,-0.00036626175278797746,0.0,243220005,3,369992735,-1220636548,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.47888967394828796,243282,-0.445759654045105,0.05307053029537201,-0.22175657749176025,-0.8656244874000549,0.0034622149541974068,0.010120321065187454,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601784706115723,3.2134056091308594,0.0,0.0002806427073664963,-0.00035195203963667154,0.0,243220005,3,369992735,-1220636548,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,0.47888967394828796,243282,-0.445759654045105,0.05307053029537201,-0.22175657749176025,-0.8656244874000549,0.0034622149541974068,0.010120321065187454,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601784706115723,3.2134056091308594,0.0,0.0002806427073664963,-0.00035195203963667154,0.0,243321003,3,369992733,-1220636548,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,-0.0003834952076431364,243282,-0.445759654045105,0.05307053029537201,-0.22175657749176025,-0.8656244874000549,0.0034622149541974068,0.010120321065187454,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601784706115723,3.2134056091308594,0.0,0.0002806427073664963,-0.00035195203963667154,0.0,243321003,3,369992733,-1220636548,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.0007669904152862728,243282,-0.445759654045105,0.05307053029537201,-0.22175657749176025,-0.8656244874000549,0.0034622149541974068,0.010120321065187454,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601784706115723,3.2134056091308594,0.0,0.0002806427073664963,-0.00035195203963667154,0.0,243321003,3,369992733,-1220636548,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.47888967394828796,243282,-0.445759654045105,0.05307053029537201,-0.22175657749176025,-0.8656244874000549,0.0034622149541974068,0.010120321065187454,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601784706115723,3.2134056091308594,0.0,0.0002806427073664963,-0.00035195203963667154,0.0,243321003,3,369992733,-1220636548,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.47888967394828796,243333,-0.445933997631073,0.053189586848020554,-0.221344456076622,-0.8656328916549683,0.003728539450094104,0.010120321065187454,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601784706115723,3.2134056091308594,0.0,0.0002806427073664963,-0.00035195203963667154,0.0,243321003,3,369992733,-1220636548,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.47888967394828796,243333,-0.445933997631073,0.053189586848020554,-0.221344456076622,-0.8656328916549683,0.003728539450094104,0.010120321065187454,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.60176944732666,3.2133877277374268,0.0,0.0002694058057386428,-0.000337882898747921,0.0,243321003,3,369992733,-1220636548,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.0003834952076431364,243333,-0.445933997631073,0.053189586848020554,-0.221344456076622,-0.8656328916549683,0.003728539450094104,0.010120321065187454,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.60176944732666,3.2133877277374268,0.0,0.0002694058057386428,-0.000337882898747921,0.0,243321003,3,369992733,-1220636548,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,-0.0003834952076431364,243333,-0.445933997631073,0.053189586848020554,-0.221344456076622,-0.8656328916549683,0.003728539450094104,0.010120321065187454,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.60176944732666,3.2133877277374268,0.0,0.0002694058057386428,-0.000337882898747921,0.0,243321003,3,369992733,-1220636548,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.4781130850315094,243333,-0.445933997631073,0.053189586848020554,-0.221344456076622,-0.8656328916549683,0.003728539450094104,0.010120321065187454,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.60176944732666,3.2133877277374268,0.0,0.0002694058057386428,-0.000337882898747921,0.0,243321003,3,369992733,-1220636548,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.4781130850315094,243384,-0.4463981091976166,0.05369885265827179,-0.22079789638519287,-0.865501880645752,0.004261187743395567,0.013049887493252754,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.60176944732666,3.2133877277374268,0.0,0.0002694058057386428,-0.000337882898747921,0.0,243321003,3,369992733,-1220636548,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.4781130850315094,243385,-0.4463981091976166,0.05369885265827179,-0.22079789638519287,-0.865501880645752,0.004261187743395567,0.013049887493252754,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601752281188965,3.213367462158203,0.0,0.0002525803865864873,-0.0003175312594976276,0.0,243321003,3,369992733,-1220636548,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,0.4781130850315094,243385,-0.4463981091976166,0.05369885265827179,-0.22079789638519287,-0.865501880645752,0.004261187743395567,0.013049887493252754,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601752281188965,3.213367462158203,0.0,0.0002525803865864873,-0.0003175312594976276,0.0,243422005,3,369992733,-1220636550,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.0003834952076431364,243385,-0.4463981091976166,0.05369885265827179,-0.22079789638519287,-0.865501880645752,0.004261187743395567,0.013049887493252754,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601752281188965,3.213367462158203,0.0,0.0002525803865864873,-0.0003175312594976276,0.0,243422005,3,369992733,-1220636550,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.0011504855938255787,243385,-0.4463981091976166,0.05369885265827179,-0.22079789638519287,-0.865501880645752,0.004261187743395567,0.013049887493252754,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601752281188965,3.213367462158203,0.0,0.0002525803865864873,-0.0003175312594976276,0.0,243422005,3,369992733,-1220636550,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.4783719480037689,243385,-0.4463981091976166,0.05369885265827179,-0.22079789638519287,-0.865501880645752,0.004261187743395567,0.013049887493252754,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",-10.601752281188965,3.213367462158203,0.0,0.0002525803865864873,-0.0003175312594976276,0.0,243422005,3,369992733,-1220636550,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.4783719480037689,243435,-0.4461123049259186,0.05335010588169098,-0.2207038402557373,-0.8656947612762451,0.0039948634803295135,0.010386645793914795,-0.005859133321791887,"[0.0, 0.0, 0.0, 0.0]",-10.601752281188965,3.213367462158203,0.0,0.0002525803865864873,-0.0003175312594976276,0.0,243422005,3,369992733,-1220636550,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.4783719480037689,243435,-0.4461123049259186,0.05335010588169098,-0.2207038402557373,-0.8656947612762451,0.0039948634803295135,0.010386645793914795,-0.005859133321791887,"[0.0, 0.0, 0.0, 0.0]",-10.601738929748535,3.213351011276245,0.0,0.00028059433680027723,-0.00035256511182524264,0.0,243422005,3,369992733,-1220636550,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.0007669904152862728,243435,-0.4461123049259186,0.05335010588169098,-0.2207038402557373,-0.8656947612762451,0.0039948634803295135,0.010386645793914795,-0.005859133321791887,"[0.0, 0.0, 0.0, 0.0]",-10.601738929748535,3.213351011276245,0.0,0.00028059433680027723,-0.00035256511182524264,0.0,243422005,3,369992733,-1220636550,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.0007669904152862728,243435,-0.4461123049259186,0.05335010588169098,-0.2207038402557373,-0.8656947612762451,0.0039948634803295135,0.010386645793914795,-0.005859133321791887,"[0.0, 0.0, 0.0, 0.0]",-10.601738929748535,3.213351011276245,0.0,0.00028059433680027723,-0.00035256511182524264,0.0,243422005,3,369992733,-1220636550,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.4783719480037689,243435,-0.4461123049259186,0.05335010588169098,-0.2207038402557373,-0.8656947612762451,0.0039948634803295135,0.010386645793914795,-0.005859133321791887,"[0.0, 0.0, 0.0, 0.0]",-10.601738929748535,3.213351011276245,0.0,0.00028059433680027723,-0.00035256511182524264,0.0,243422005,3,369992733,-1220636550,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.4783719480037689,243486,-0.4461471438407898,0.053402964025735855,-0.22074002027511597,-0.8656642436981201,0.001864269725047052,0.009853996336460114,-0.0010652969358488917,"[0.0, 0.0, 0.0, 0.0]",-10.601738929748535,3.213351011276245,0.0,0.00028059433680027723,-0.00035256511182524264,0.0,243422005,3,369992733,-1220636550,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.4783719480037689,243486,-0.4461471438407898,0.053402964025735855,-0.22074002027511597,-0.8656642436981201,0.001864269725047052,0.009853996336460114,-0.0010652969358488917,"[0.0, 0.0, 0.0, 0.0]",-10.601725578308105,3.2133336067199707,0.0,0.00030311167938634753,-0.00038071477320045233,0.0,243422005,3,369992733,-1220636550,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,0.4783719480037689,243486,-0.4461471438407898,0.053402964025735855,-0.22074002027511597,-0.8656642436981201,0.001864269725047052,0.009853996336460114,-0.0010652969358488917,"[0.0, 0.0, 0.0, 0.0]",-10.601725578308105,3.2133336067199707,0.0,0.00030311167938634753,-0.00038071477320045233,0.0,243523004,3,369992735,-1220636550,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.0,243486,-0.4461471438407898,0.053402964025735855,-0.22074002027511597,-0.8656642436981201,0.001864269725047052,0.009853996336460114,-0.0010652969358488917,"[0.0, 0.0, 0.0, 0.0]",-10.601725578308105,3.2133336067199707,0.0,0.00030311167938634753,-0.00038071477320045233,0.0,243523004,3,369992735,-1220636550,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.0,243486,-0.4461471438407898,0.053402964025735855,-0.22074002027511597,-0.8656642436981201,0.001864269725047052,0.009853996336460114,-0.0010652969358488917,"[0.0, 0.0, 0.0, 0.0]",-10.601725578308105,3.2133336067199707,0.0,0.00030311167938634753,-0.00038071477320045233,0.0,243523004,3,369992735,-1220636550,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.47863081097602844,243486,-0.4461471438407898,0.053402964025735855,-0.22074002027511597,-0.8656642436981201,0.001864269725047052,0.009853996336460114,-0.0010652969358488917,"[0.0, 0.0, 0.0, 0.0]",-10.601725578308105,3.2133336067199707,0.0,0.00030311167938634753,-0.00038071477320045233,0.0,243523004,3,369992735,-1220636550,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.47863081097602844,243537,-0.4460260570049286,0.053210899233818054,-0.2205677479505539,-0.8657824993133545,0.004793836269527674,0.013049887493252754,-0.005592809058725834,"[0.0, 0.0, 0.0, 0.0]",-10.601725578308105,3.2133336067199707,0.0,0.00030311167938634753,-0.00038071477320045233,0.0,243523004,3,369992735,-1220636550,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.47863081097602844,243537,-0.4460260570049286,0.053210899233818054,-0.2205677479505539,-0.8657824993133545,0.004793836269527674,0.013049887493252754,-0.005592809058725834,"[0.0, 0.0, 0.0, 0.0]",-10.601712226867676,3.2133171558380127,0.0,0.00026379869086667895,-0.0003311092150397599,0.0,243523004,3,369992735,-1220636550,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.0003834952076431364,243537,-0.4460260570049286,0.053210899233818054,-0.2205677479505539,-0.8657824993133545,0.004793836269527674,0.013049887493252754,-0.005592809058725834,"[0.0, 0.0, 0.0, 0.0]",-10.601712226867676,3.2133171558380127,0.0,0.00026379869086667895,-0.0003311092150397599,0.0,243523004,3,369992735,-1220636550,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
