mavpackettype,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,index,frequency,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q,x,y,z,vx,vy,vz,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
RAW_RPM,160198006,3,369992826,-1220636203,0,65535,65535,30,0,255,0,0,0,0,0,0,1,0.1660534292459488,160204,0.14553804695606232,0.010147087275981903,0.10826174169778824,0.9833590984344482,0.162724107503891,0.03142625838518143,0.8485090136528015,"[0.0, 0.0, 0.0, 0.0]",-6.405856132507324,1.93873131275177,0.0,-0.34153375029563904,0.10309037566184998,0.0,10,0,192,0,3,3
RAW_RPM,160198006,3,369992826,-1220636203,0,65535,65535,30,0,255,0,0,0,0,0,0,2,0.8428457975387573,160204,0.14553804695606232,0.010147087275981903,0.10826174169778824,0.9833590984344482,0.162724107503891,0.03142625838518143,0.8485090136528015,"[0.0, 0.0, 0.0, 0.0]",-6.405856132507324,1.93873131275177,0.0,-0.34153375029563904,0.10309037566184998,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,160198006,3,369992826,-1220636203,0,65535,65535,30,0,255,0,0,0,0,0,0,2,0.8428457975387573,160254,0.12983448803424835,0.006697403267025948,0.10615208745002747,0.9858143329620361,0.2916250228881836,-0.07829932123422623,0.8847291469573975,"[0.0, 0.0, 0.0, 0.0]",-6.405856132507324,1.93873131275177,0.0,-0.34153375029563904,0.10309037566184998,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,160198006,3,369992826,-1220636203,0,65535,65535,30,0,255,0,0,0,0,0,0,2,0.8428457975387573,160254,0.12983448803424835,0.006697403267025948,0.10615208745002747,0.9858143329620361,0.2916250228881836,-0.07829932123422623,0.8847291469573975,"[0.0, 0.0, 0.0, 0.0]",-6.4230804443359375,1.9435352087020874,0.0,-0.34729287028312683,0.09168785065412521,0.0,10,0,192,0,3,3
GPS_RAW_INT,160299006,3,369992830,-1220636208,0,65535,65535,38,29145,255,0,0,0,0,0,0,2,0.8428457975387573,160254,0.12983448803424835,0.006697403267025948,0.10615208745002747,0.9858143329620361,0.2916250228881836,-0.07829932123422623,0.8847291469573975,"[0.0, 0.0, 0.0, 0.0]",-6.4230804443359375,1.9435352087020874,0.0,-0.34729287028312683,0.09168785065412521,0.0,10,0,192,0,3,3
RAW_RPM,160299006,3,369992830,-1220636208,0,65535,65535,38,29145,255,0,0,0,0,0,0,0,0.031446605920791626,160254,0.12983448803424835,0.006697403267025948,0.10615208745002747,0.9858143329620361,0.2916250228881836,-0.07829932123422623,0.8847291469573975,"[0.0, 0.0, 0.0, 0.0]",-6.4230804443359375,1.9435352087020874,0.0,-0.34729287028312683,0.09168785065412521,0.0,10,0,192,0,3,3
RAW_RPM,160299006,3,369992830,-1220636208,0,65535,65535,38,29145,255,0,0,0,0,0,0,1,0.12616991996765137,160254,0.12983448803424835,0.006697403267025948,0.10615208745002747,0.9858143329620361,0.2916250228881836,-0.07829932123422623,0.8847291469573975,"[0.0, 0.0, 0.0, 0.0]",-6.4230804443359375,1.9435352087020874,0.0,-0.34729287028312683,0.09168785065412521,0.0,10,0,192,0,3,3
RAW_RPM,160299006,3,369992830,-1220636208,0,65535,65535,38,29145,255,0,0,0,0,0,0,2,0.841292679309845,160254,0.12983448803424835,0.006697403267025948,0.10615208745002747,0.9858143329620361,0.2916250228881836,-0.07829932123422623,0.8847291469573975,"[0.0, 0.0, 0.0, 0.0]",-6.4230804443359375,1.9435352087020874,0.0,-0.34729287028312683,0.09168785065412521,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,160299006,3,369992830,-1220636208,0,65535,65535,38,29145,255,0,0,0,0,0,0,2,0.841292679309845,160305,0.11351592093706131,0.008476980961859226,0.10867547243833542,0.9875383377075195,0.018909020349383354,-0.1459456831216812,0.6450372934341431,"[0.0, 0.0, 0.0, 0.0]",-6.4230804443359375,1.9435352087020874,0.0,-0.34729287028312683,0.09168785065412521,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,160299006,3,369992830,-1220636208,0,65535,65535,38,29145,255,0,0,0,0,0,0,2,0.841292679309845,160305,0.11351592093706131,0.008476980961859226,0.10867547243833542,0.9875383377075195,0.018909020349383354,-0.1459456831216812,0.6450372934341431,"[0.0, 0.0, 0.0, 0.0]",-6.4405083656311035,1.9477773904800415,0.0,-0.3474218547344208,0.08004754781723022,0.0,10,0,192,0,3,3
RAW_RPM,160299006,3,369992830,-1220636208,0,65535,65535,38,29145,255,0,0,0,0,0,0,0,0.006519418675452471,160305,0.11351592093706131,0.008476980961859226,0.10867547243833542,0.9875383377075195,0.018909020349383354,-0.1459456831216812,0.6450372934341431,"[0.0, 0.0, 0.0, 0.0]",-6.4405083656311035,1.9477773904800415,0.0,-0.3474218547344208,0.08004754781723022,0.0,10,0,192,0,3,3
RAW_RPM,160299006,3,369992830,-1220636208,0,65535,65535,38,29145,255,0,0,0,0,0,0,1,0.10009224712848663,160305,0.11351592093706131,0.008476980961859226,0.10867547243833542,0.9875383377075195,0.018909020349383354,-0.1459456831216812,0.6450372934341431,"[0.0, 0.0, 0.0, 0.0]",-6.4405083656311035,1.9477773904800415,0.0,-0.3474218547344208,0.08004754781723022,0.0,10,0,192,0,3,3
RAW_RPM,160299006,3,369992830,-1220636208,0,65535,65535,38,29145,255,0,0,0,0,0,0,2,0.8311971426010132,160305,0.11351592093706131,0.008476980961859226,0.10867547243833542,0.9875383377075195,0.018909020349383354,-0.1459456831216812,0.6450372934341431,"[0.0, 0.0, 0.0, 0.0]",-6.4405083656311035,1.9477773904800415,0.0,-0.3474218547344208,0.08004754781723022,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,160299006,3,369992830,-1220636208,0,65535,65535,38,29145,255,0,0,0,0,0,0,2,0.8311971426010132,160356,0.09714529663324356,0.01104804314672947,0.10167412459850311,0.9900015592575073,0.05725971236824989,-0.06817900389432907,0.5686022639274597,"[0.0, 0.0, 0.0, 0.0]",-6.4405083656311035,1.9477773904800415,0.0,-0.3474218547344208,0.08004754781723022,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,160299006,3,369992830,-1220636208,0,65535,65535,38,29145,255,0,0,0,0,0,0,2,0.8311971426010132,160356,0.09714529663324356,0.01104804314672947,0.10167412459850311,0.9900015592575073,0.05725971236824989,-0.06817900389432907,0.5686022639274597,"[0.0, 0.0, 0.0, 0.0]",-6.457897663116455,1.9514422416687012,0.0,-0.3502557873725891,0.06949321925640106,0.0,10,0,192,0,3,3
GPS_RAW_INT,160400006,3,369992831,-1220636211,0,65535,65535,34,0,255,0,0,0,0,0,0,2,0.8311971426010132,160356,0.09714529663324356,0.01104804314672947,0.10167412459850311,0.9900015592575073,0.05725971236824989,-0.06817900389432907,0.5686022639274597,"[0.0, 0.0, 0.0, 0.0]",-6.457897663116455,1.9514422416687012,0.0,-0.3502557873725891,0.06949321925640106,0.0,10,0,192,0,3,3
RAW_RPM,160400006,3,369992831,-1220636211,0,65535,65535,34,0,255,0,0,0,0,0,0,0,0.1035437062382698,160356,0.09714529663324356,0.01104804314672947,0.10167412459850311,0.9900015592575073,0.05725971236824989,-0.06817900389432907,0.5686022639274597,"[0.0, 0.0, 0.0, 0.0]",-6.457897663116455,1.9514422416687012,0.0,-0.3502557873725891,0.06949321925640106,0.0,10,0,192,0,3,3
RAW_RPM,160400006,3,369992831,-1220636211,0,65535,65535,34,0,255,0,0,0,0,0,0,1,0.12808740139007568,160356,0.09714529663324356,0.01104804314672947,0.10167412459850311,0.9900015592575073,0.05725971236824989,-0.06817900389432907,0.5686022639274597,"[0.0, 0.0, 0.0, 0.0]",-6.457897663116455,1.9514422416687012,0.0,-0.3502557873725891,0.06949321925640106,0.0,10,0,192,0,3,3
RAW_RPM,160400006,3,369992831,-1220636211,0,65535,65535,34,0,255,0,0,0,0,0,0,2,0.8081586360931396,160356,0.09714529663324356,0.01104804314672947,0.10167412459850311,0.9900015592575073,0.05725971236824989,-0.06817900389432907,0.5686022639274597,"[0.0, 0.0, 0.0, 0.0]",-6.457897663116455,1.9514422416687012,0.0,-0.3502557873725891,0.06949321925640106,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,160400006,3,369992831,-1220636211,0,65535,65535,34,0,255,0,0,0,0,0,0,2,0.8081586360931396,160407,0.08141489326953888,0.008858432061970234,0.09230095893144608,0.9923577308654785,0.016245778650045395,-0.07670138031244278,0.5124078392982483,"[0.0, 0.0, 0.0, 0.0]",-6.457897663116455,1.9514422416687012,0.0,-0.3502557873725891,0.06949321925640106,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,160400006,3,369992831,-1220636211,0,65535,65535,34,0,255,0,0,0,0,0,0,2,0.8081586360931396,160407,0.08141489326953888,0.008858432061970234,0.09230095893144608,0.9923577308654785,0.016245778650045395,-0.07670138031244278,0.5124078392982483,"[0.0, 0.0, 0.0, 0.0]",-6.475464344024658,1.9545596837997437,0.0,-0.35617566108703613,0.058528147637844086,0.0,10,0,192,0,3,3
RAW_RPM,160400006,3,369992831,-1220636211,0,65535,65535,34,0,255,0,0,0,0,0,0,0,0.03681553900241852,160407,0.08141489326953888,0.008858432061970234,0.09230095893144608,0.9923577308654785,0.016245778650045395,-0.07670138031244278,0.5124078392982483,"[0.0, 0.0, 0.0, 0.0]",-6.475464344024658,1.9545596837997437,0.0,-0.35617566108703613,0.058528147637844086,0.0,10,0,192,0,3,3
RAW_RPM,160400006,3,369992831,-1220636211,0,65535,65535,34,0,255,0,0,0,0,0,0,1,0.14764565229415894,160407,0.08141489326953888,0.008858432061970234,0.09230095893144608,0.9923577308654785,0.016245778650045395,-0.07670138031244278,0.5124078392982483,"[0.0, 0.0, 0.0, 0.0]",-6.475464344024658,1.9545596837997437,0.0,-0.35617566108703613,0.058528147637844086,0.0,10,0,192,0,3,3
RAW_RPM,160400006,3,369992831,-1220636211,0,65535,65535,34,0,255,0,0,0,0,0,0,2,0.7804607152938843,160407,0.08141489326953888,0.008858432061970234,0.09230095893144608,0.9923577308654785,0.016245778650045395,-0.07670138031244278,0.5124078392982483,"[0.0, 0.0, 0.0, 0.0]",-6.475464344024658,1.9545596837997437,0.0,-0.35617566108703613,0.058528147637844086,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,160400006,3,369992831,-1220636211,0,65535,65535,34,0,255,0,0,0,0,0,0,2,0.7804607152938843,160458,0.06697383522987366,0.01535775326192379,0.09648371487855911,0.9929600358009338,0.06152089685201645,-0.009321347810328007,0.5662053823471069,"[0.0, 0.0, 0.0, 0.0]",-6.475464344024658,1.9545596837997437,0.0,-0.35617566108703613,0.058528147637844086,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,160400006,3,369992831,-1220636211,0,65535,65535,34,0,255,0,0,0,0,0,0,2,0.7804607152938843,160458,0.06697383522987366,0.01535775326192379,0.09648371487855911,0.9929600358009338,0.06152089685201645,-0.009321347810328007,0.5662053823471069,"[0.0, 0.0, 0.0, 0.0]",-6.494083881378174,1.9572736024856567,0.0,-0.3828636705875397,0.05126044154167175,0.0,10,0,192,0,3,3
