mavpackettype,time_boot_ms,port,chan1_raw,chan2_raw,chan3_raw,chan4_raw,chan5_raw,chan6_raw,chan7_raw,chan8_raw,rssi,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature,chan1_scaled,chan2_scaled,chan3_scaled,chan4_scaled,chan5_scaled,chan6_scaled,chan7_scaled,chan8_scaled,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
RC_CHANNELS_SCALED,475952,1,172,992,934,950,992,1811,992,1811,255,475952140,354,1032,16628,-37,78,-10,53,-107,-251,0,-384,-1,0,1,1568,-1,-1,-1,-1,3,369989920,-1220635963,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,475952,1,172,992,934,950,992,1811,992,1811,255,475962006,354,1032,16628,-37,78,-10,53,-107,-251,0,-384,-1,0,1,1568,-1,-1,-1,-1,3,369989920,-1220635963,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,475972,0,172,992,934,950,992,1811,992,1811,255,475962006,354,1032,16628,-37,78,-10,53,-107,-251,0,-384,-1,0,1,1568,-1,-1,-1,-1,3,369989920,-1220635963,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,475972,0,172,992,934,950,992,1811,992,1811,255,475972144,378,940,16760,-31,75,-18,58,-112,-246,0,-272,-1,0,1,1568,-1,-1,-1,-1,3,369989920,-1220635963,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,475972,1,172,992,934,950,992,1811,992,1811,255,475972144,378,940,16760,-31,75,-18,58,-112,-246,0,-272,6,2,0,1568,-1,-1,-1,-1,3,369989920,-1220635963,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,475992,0,172,992,934,950,992,1811,992,1811,255,475972144,378,940,16760,-31,75,-18,58,-112,-246,0,-272,6,2,0,1568,-1,-1,-1,-1,3,369989920,-1220635963,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,475992,0,172,992,934,950,992,1811,992,1811,255,475992141,397,1042,16675,-41,73,-4,61,-115,-248,0,-176,6,2,0,1568,-1,-1,-1,-1,3,369989920,-1220635963,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,475992,1,172,992,934,950,992,1811,992,1811,255,475992141,397,1042,16675,-41,73,-4,61,-115,-248,0,-176,-3,2,-5,1564,-1,-1,-1,-1,3,369989920,-1220635963,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
HEARTBEAT,475992,1,172,992,934,950,992,1811,992,1811,255,475992141,397,1042,16675,-41,73,-4,61,-115,-248,0,-176,-3,2,-5,1564,-1,-1,-1,-1,3,369989920,-1220635963,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,476012,0,172,992,934,950,992,1811,992,1811,255,475992141,397,1042,16675,-41,73,-4,61,-115,-248,0,-176,-3,2,-5,1564,-1,-1,-1,-1,3,369989920,-1220635963,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3
