mavpackettype,index,frequency,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q,x,y,z,vx,vy,vz,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
RAW_RPM,1,0.14841264486312866,308766,-0.30408379435539246,-0.06147848442196846,-0.188424214720726,-0.9317992329597473,0.14115184545516968,-0.10386645048856735,-0.27511292695999146,"[0.0, 0.0, 0.0, 0.0]",-9.685463905334473,14.925508499145508,0.0,-0.3837374746799469,0.27778109908103943,0.0,308769003,3,369992766,-1220636496,0,65535,65535,50,33585,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.35955554246902466,308766,-0.30408379435539246,-0.06147848442196846,-0.188424214720726,-0.9317992329597473,0.14115184545516968,-0.10386645048856735,-0.27511292695999146,"[0.0, 0.0, 0.0, 0.0]",-9.685463905334473,14.925508499145508,0.0,-0.3837374746799469,0.27778109908103943,0.0,308769003,3,369992766,-1220636496,0,65535,65535,50,33585,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.35955554246902466,308817,-0.30141371488571167,-0.07098755240440369,-0.2093333750963211,-0.9275183081626892,0.08602272719144821,-0.002396918134763837,-0.46446946263313293,"[0.0, 0.0, 0.0, 0.0]",-9.685463905334473,14.925508499145508,0.0,-0.3837374746799469,0.27778109908103943,0.0,308769003,3,369992766,-1220636496,0,65535,65535,50,33585,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.35955554246902466,308817,-0.30141371488571167,-0.07098755240440369,-0.2093333750963211,-0.9275183081626892,0.08602272719144821,-0.002396918134763837,-0.46446946263313293,"[0.0, 0.0, 0.0, 0.0]",-9.70584774017334,14.94017505645752,0.0,-0.42359688878059387,0.3046323359012604,0.0,308769003,3,369992766,-1220636496,0,65535,65535,50,33585,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.22817964851856232,308817,-0.30141371488571167,-0.07098755240440369,-0.2093333750963211,-0.9275183081626892,0.08602272719144821,-0.002396918134763837,-0.46446946263313293,"[0.0, 0.0, 0.0, 0.0]",-9.70584774017334,14.94017505645752,0.0,-0.42359688878059387,0.3046323359012604,0.0,308769003,3,369992766,-1220636496,0,65535,65535,50,33585,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.22587867081165314,308817,-0.30141371488571167,-0.07098755240440369,-0.2093333750963211,-0.9275183081626892,0.08602272719144821,-0.002396918134763837,-0.46446946263313293,"[0.0, 0.0, 0.0, 0.0]",-9.70584774017334,14.94017505645752,0.0,-0.42359688878059387,0.3046323359012604,0.0,308769003,3,369992766,-1220636496,0,65535,65535,50,33585,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.3608498275279999,308817,-0.30141371488571167,-0.07098755240440369,-0.2093333750963211,-0.9275183081626892,0.08602272719144821,-0.002396918134763837,-0.46446946263313293,"[0.0, 0.0, 0.0, 0.0]",-9.70584774017334,14.94017505645752,0.0,-0.42359688878059387,0.3046323359012604,0.0,308769003,3,369992766,-1220636496,0,65535,65535,50,33585,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.3608498275279999,308868,-0.3001132905483246,-0.07797880470752716,-0.22940973937511444,-0.9226172566413879,0.04634041711688042,0.22557663917541504,-0.45861032605171204,"[0.0, 0.0, 0.0, 0.0]",-9.70584774017334,14.94017505645752,0.0,-0.42359688878059387,0.3046323359012604,0.0,308769003,3,369992766,-1220636496,0,65535,65535,50,33585,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.3608498275279999,308868,-0.3001132905483246,-0.07797880470752716,-0.22940973937511444,-0.9226172566413879,0.04634041711688042,0.22557663917541504,-0.45861032605171204,"[0.0, 0.0, 0.0, 0.0]",-9.728584289550781,14.95654010772705,0.0,-0.47863665223121643,0.3449121117591858,0.0,308769003,3,369992766,-1220636496,0,65535,65535,50,33585,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,0.3608498275279999,308868,-0.3001132905483246,-0.07797880470752716,-0.22940973937511444,-0.9226172566413879,0.04634041711688042,0.22557663917541504,-0.45861032605171204,"[0.0, 0.0, 0.0, 0.0]",-9.728584289550781,14.95654010772705,0.0,-0.47863665223121643,0.3449121117591858,0.0,308870008,3,369992768,-1220636498,0,65535,65535,48,33911,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.0057524279691278934,308868,-0.3001132905483246,-0.07797880470752716,-0.22940973937511444,-0.9226172566413879,0.04634041711688042,0.22557663917541504,-0.45861032605171204,"[0.0, 0.0, 0.0, 0.0]",-9.728584289550781,14.95654010772705,0.0,-0.47863665223121643,0.3449121117591858,0.0,308870008,3,369992768,-1220636498,0,65535,65535,48,33911,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.19328159093856812,308868,-0.3001132905483246,-0.07797880470752716,-0.22940973937511444,-0.9226172566413879,0.04634041711688042,0.22557663917541504,-0.45861032605171204,"[0.0, 0.0, 0.0, 0.0]",-9.728584289550781,14.95654010772705,0.0,-0.47863665223121643,0.3449121117591858,0.0,308870008,3,369992768,-1220636498,0,65535,65535,48,33911,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.36266183853149414,308868,-0.3001132905483246,-0.07797880470752716,-0.22940973937511444,-0.9226172566413879,0.04634041711688042,0.22557663917541504,-0.45861032605171204,"[0.0, 0.0, 0.0, 0.0]",-9.728584289550781,14.95654010772705,0.0,-0.47863665223121643,0.3449121117591858,0.0,308870008,3,369992768,-1220636498,0,65535,65535,48,33911,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.36266183853149414,308919,-0.30251815915107727,-0.06973044574260712,-0.2519517242908478,-0.9165918827056885,0.17417603731155396,-0.04154658317565918,-0.3957578241825104,"[0.0, 0.0, 0.0, 0.0]",-9.728584289550781,14.95654010772705,0.0,-0.47863665223121643,0.3449121117591858,0.0,308870008,3,369992768,-1220636498,0,65535,65535,48,33911,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.36266183853149414,308919,-0.30251815915107727,-0.06973044574260712,-0.2519517242908478,-0.9165918827056885,0.17417603731155396,-0.04154658317565918,-0.3957578241825104,"[0.0, 0.0, 0.0, 0.0]",-9.753331184387207,14.97436809539795,0.0,-0.4937191605567932,0.3548029065132141,0.0,308870008,3,369992768,-1220636498,0,65535,65535,48,33911,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.009587380103766918,308919,-0.30251815915107727,-0.06973044574260712,-0.2519517242908478,-0.9165918827056885,0.17417603731155396,-0.04154658317565918,-0.3957578241825104,"[0.0, 0.0, 0.0, 0.0]",-9.753331184387207,14.97436809539795,0.0,-0.4937191605567932,0.3548029065132141,0.0,308870008,3,369992768,-1220636498,0,65535,65535,48,33911,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.18369419872760773,308919,-0.30251815915107727,-0.06973044574260712,-0.2519517242908478,-0.9165918827056885,0.17417603731155396,-0.04154658317565918,-0.3957578241825104,"[0.0, 0.0, 0.0, 0.0]",-9.753331184387207,14.97436809539795,0.0,-0.4937191605567932,0.3548029065132141,0.0,308870008,3,369992768,-1220636498,0,65535,65535,48,33911,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.3636972904205322,308919,-0.30251815915107727,-0.06973044574260712,-0.2519517242908478,-0.9165918827056885,0.17417603731155396,-0.04154658317565918,-0.3957578241825104,"[0.0, 0.0, 0.0, 0.0]",-9.753331184387207,14.97436809539795,0.0,-0.4937191605567932,0.3548029065132141,0.0,308870008,3,369992768,-1220636498,0,65535,65535,48,33911,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.3636972904205322,308970,-0.3076290488243103,-0.06834157556295395,-0.2685714662075043,-0.9102544784545898,-0.26792216300964355,0.009853996336460114,-0.5180006623268127,"[0.0, 0.0, 0.0, 0.0]",-9.753331184387207,14.97436809539795,0.0,-0.4937191605567932,0.3548029065132141,0.0,308870008,3,369992768,-1220636498,0,65535,65535,48,33911,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.3636972904205322,308970,-0.3076290488243103,-0.06834157556295395,-0.2685714662075043,-0.9102544784545898,-0.26792216300964355,0.009853996336460114,-0.5180006623268127,"[0.0, 0.0, 0.0, 0.0]",-9.777324676513672,14.991780281066895,0.0,-0.4705798327922821,0.3439686596393585,0.0,308870008,3,369992768,-1220636498,0,65535,65535,48,33911,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,0.3636972904205322,308970,-0.3076290488243103,-0.06834157556295395,-0.2685714662075043,-0.9102544784545898,-0.26792216300964355,0.009853996336460114,-0.5180006623268127,"[0.0, 0.0, 0.0, 0.0]",-9.777324676513672,14.991780281066895,0.0,-0.4705798327922821,0.3439686596393585,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
HEARTBEAT,2,0.3636972904205322,308970,-0.3076290488243103,-0.06834157556295395,-0.2685714662075043,-0.9102544784545898,-0.26792216300964355,0.009853996336460114,-0.5180006623268127,"[0.0, 0.0, 0.0, 0.0]",-9.777324676513672,14.991780281066895,0.0,-0.4705798327922821,0.3439686596393585,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.12195147573947906,308970,-0.3076290488243103,-0.06834157556295395,-0.2685714662075043,-0.9102544784545898,-0.26792216300964355,0.009853996336460114,-0.5180006623268127,"[0.0, 0.0, 0.0, 0.0]",-9.777324676513672,14.991780281066895,0.0,-0.4705798327922821,0.3439686596393585,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.2695971429347992,308970,-0.3076290488243103,-0.06834157556295395,-0.2685714662075043,-0.9102544784545898,-0.26792216300964355,0.009853996336460114,-0.5180006623268127,"[0.0, 0.0, 0.0, 0.0]",-9.777324676513672,14.991780281066895,0.0,-0.4705798327922821,0.3439686596393585,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.3621441423892975,308970,-0.3076290488243103,-0.06834157556295395,-0.2685714662075043,-0.9102544784545898,-0.26792216300964355,0.009853996336460114,-0.5180006623268127,"[0.0, 0.0, 0.0, 0.0]",-9.777324676513672,14.991780281066895,0.0,-0.4705798327922821,0.3439686596393585,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.3621441423892975,309021,-0.3194122910499573,-0.05767679214477539,-0.2837470769882202,-0.9022953510284424,-0.06098824739456177,0.14940789341926575,-0.5741950273513794,"[0.0, 0.0, 0.0, 0.0]",-9.777324676513672,14.991780281066895,0.0,-0.4705798327922821,0.3439686596393585,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.3621441423892975,309021,-0.3194122910499573,-0.05767679214477539,-0.2837470769882202,-0.9022953510284424,-0.06098824739456177,0.14940789341926575,-0.5741950273513794,"[0.0, 0.0, 0.0, 0.0]",-9.800592422485352,15.009148597717285,0.0,-0.4671819508075714,0.35439372062683105,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.25003886222839355,309021,-0.3194122910499573,-0.05767679214477539,-0.2837470769882202,-0.9022953510284424,-0.06098824739456177,0.14940789341926575,-0.5741950273513794,"[0.0, 0.0, 0.0, 0.0]",-9.800592422485352,15.009148597717285,0.0,-0.4671819508075714,0.35439372062683105,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.23393207788467407,309021,-0.3194122910499573,-0.05767679214477539,-0.2837470769882202,-0.9022953510284424,-0.06098824739456177,0.14940789341926575,-0.5741950273513794,"[0.0, 0.0, 0.0, 0.0]",-9.800592422485352,15.009148597717285,0.0,-0.4671819508075714,0.35439372062683105,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.3631795644760132,309021,-0.3194122910499573,-0.05767679214477539,-0.2837470769882202,-0.9022953510284424,-0.06098824739456177,0.14940789341926575,-0.5741950273513794,"[0.0, 0.0, 0.0, 0.0]",-9.800592422485352,15.009148597717285,0.0,-0.4671819508075714,0.35439372062683105,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.3631795644760132,309072,-0.33218422532081604,-0.034742288291454315,-0.2975102365016937,-0.8943904042243958,0.2032053917646408,-0.18323107063770294,-0.5409045219421387,"[0.0, 0.0, 0.0, 0.0]",-9.800592422485352,15.009148597717285,0.0,-0.4671819508075714,0.35439372062683105,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.3631795644760132,309072,-0.33218422532081604,-0.034742288291454315,-0.2975102365016937,-0.8943904042243958,0.2032053917646408,-0.18323107063770294,-0.5409045219421387,"[0.0, 0.0, 0.0, 0.0]",-9.825019836425781,15.027938842773438,0.0,-0.5038641691207886,0.3914501667022705,0.0,308971005,3,369992775,-1220636500,0,65535,65535,57,34438,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,0.3631795644760132,309072,-0.33218422532081604,-0.034742288291454315,-0.2975102365016937,-0.8943904042243958,0.2032053917646408,-0.18323107063770294,-0.5409045219421387,"[0.0, 0.0, 0.0, 0.0]",-9.825019836425781,15.027938842773438,0.0,-0.5038641691207886,0.3914501667022705,0.0,309072772,3,369992779,-1220636500,0,65535,65535,61,34798,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.28800490498542786,309072,-0.33218422532081604,-0.034742288291454315,-0.2975102365016937,-0.8943904042243958,0.2032053917646408,-0.18323107063770294,-0.5409045219421387,"[0.0, 0.0, 0.0, 0.0]",-9.825019836425781,15.027938842773438,0.0,-0.5038641691207886,0.3914501667022705,0.0,309072772,3,369992779,-1220636500,0,65535,65535,61,34798,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.19903400540351868,309072,-0.33218422532081604,-0.034742288291454315,-0.2975102365016937,-0.8943904042243958,0.2032053917646408,-0.18323107063770294,-0.5409045219421387,"[0.0, 0.0, 0.0, 0.0]",-9.825019836425781,15.027938842773438,0.0,-0.5038641691207886,0.3914501667022705,0.0,309072772,3,369992779,-1220636500,0,65535,65535,61,34798,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.35800236463546753,309072,-0.33218422532081604,-0.034742288291454315,-0.2975102365016937,-0.8943904042243958,0.2032053917646408,-0.18323107063770294,-0.5409045219421387,"[0.0, 0.0, 0.0, 0.0]",-9.825019836425781,15.027938842773438,0.0,-0.5038641691207886,0.3914501667022705,0.0,309072772,3,369992779,-1220636500,0,65535,65535,61,34798,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.35800236463546753,309123,-0.34790855646133423,-0.016117336228489876,-0.3194195330142975,-0.8812894225120544,0.18243208527565002,-0.21652160584926605,-0.5382412672042847,"[0.0, 0.0, 0.0, 0.0]",-9.825019836425781,15.027938842773438,0.0,-0.5038641691207886,0.3914501667022705,0.0,309072772,3,369992779,-1220636500,0,65535,65535,61,34798,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.35800236463546753,309123,-0.34790855646133423,-0.016117336228489876,-0.3194195330142975,-0.8812894225120544,0.18243208527565002,-0.21652160584926605,-0.5382412672042847,"[0.0, 0.0, 0.0, 0.0]",-9.851634979248047,15.04910659790039,0.0,-0.5499957799911499,0.4437049925327301,0.0,309072772,3,369992779,-1220636500,0,65535,65535,61,34798,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,0.35800236463546753,309123,-0.34790855646133423,-0.016117336228489876,-0.3194195330142975,-0.8812894225120544,0.18243208527565002,-0.21652160584926605,-0.5382412672042847,"[0.0, 0.0, 0.0, 0.0]",-9.851634979248047,15.04910659790039,0.0,-0.5499957799911499,0.4437049925327301,0.0,309173008,3,369992786,-1220636498,0,65535,65535,64,35510,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.057140786200761795,309123,-0.34790855646133423,-0.016117336228489876,-0.3194195330142975,-0.8812894225120544,0.18243208527565002,-0.21652160584926605,-0.5382412672042847,"[0.0, 0.0, 0.0, 0.0]",-9.851634979248047,15.04910659790039,0.0,-0.5499957799911499,0.4437049925327301,0.0,309173008,3,369992786,-1220636498,0,65535,65535,64,35510,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.26921364665031433,309123,-0.34790855646133423,-0.016117336228489876,-0.3194195330142975,-0.8812894225120544,0.18243208527565002,-0.21652160584926605,-0.5382412672042847,"[0.0, 0.0, 0.0, 0.0]",-9.851634979248047,15.04910659790039,0.0,-0.5499957799911499,0.4437049925327301,0.0,309173008,3,369992786,-1220636498,0,65535,65535,64,35510,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.3590378165245056,309123,-0.34790855646133423,-0.016117336228489876,-0.3194195330142975,-0.8812894225120544,0.18243208527565002,-0.21652160584926605,-0.5382412672042847,"[0.0, 0.0, 0.0, 0.0]",-9.851634979248047,15.04910659790039,0.0,-0.5499957799911499,0.4437049925327301,0.0,309173008,3,369992786,-1220636498,0,65535,65535,64,35510,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.3590378165245056,309174,-0.36576199531555176,0.00986421387642622,-0.33370742201805115,-0.8687693476676941,0.10013791173696518,-0.08975126594305038,-0.5467636585235596,"[0.0, 0.0, 0.0, 0.0]",-9.851634979248047,15.04910659790039,0.0,-0.5499957799911499,0.4437049925327301,0.0,309173008,3,369992786,-1220636498,0,65535,65535,64,35510,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.3590378165245056,309174,-0.36576199531555176,0.00986421387642622,-0.33370742201805115,-0.8687693476676941,0.10013791173696518,-0.08975126594305038,-0.5467636585235596,"[0.0, 0.0, 0.0, 0.0]",-9.87998104095459,15.072626113891602,0.0,-0.5745413899421692,0.4834745526313782,0.0,309173008,3,369992786,-1220636498,0,65535,65535,64,35510,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.21168935298919678,309174,-0.36576199531555176,0.00986421387642622,-0.33370742201805115,-0.8687693476676941,0.10013791173696518,-0.08975126594305038,-0.5467636585235596,"[0.0, 0.0, 0.0, 0.0]",-9.87998104095459,15.072626113891602,0.0,-0.5745413899421692,0.4834745526313782,0.0,309173008,3,369992786,-1220636498,0,65535,65535,64,35510,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.18331070244312286,309174,-0.36576199531555176,0.00986421387642622,-0.33370742201805115,-0.8687693476676941,0.10013791173696518,-0.08975126594305038,-0.5467636585235596,"[0.0, 0.0, 0.0, 0.0]",-9.87998104095459,15.072626113891602,0.0,-0.5745413899421692,0.4834745526313782,0.0,309173008,3,369992786,-1220636498,0,65535,65535,64,35510,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.3644738793373108,309174,-0.36576199531555176,0.00986421387642622,-0.33370742201805115,-0.8687693476676941,0.10013791173696518,-0.08975126594305038,-0.5467636585235596,"[0.0, 0.0, 0.0, 0.0]",-9.87998104095459,15.072626113891602,0.0,-0.5745413899421692,0.4834745526313782,0.0,309173008,3,369992786,-1220636498,0,65535,65535,64,35510,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.3644738793373108,309225,-0.39142554998397827,0.041661981493234634,-0.34644725918769836,-0.8514838814735413,-0.04980263113975525,-0.1009368821978569,-0.5446330308914185,"[0.0, 0.0, 0.0, 0.0]",-9.87998104095459,15.072626113891602,0.0,-0.5745413899421692,0.4834745526313782,0.0,309173008,3,369992786,-1220636498,0,65535,65535,64,35510,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.3644738793373108,309226,-0.39142554998397827,0.041661981493234634,-0.34644725918769836,-0.8514838814735413,-0.04980263113975525,-0.1009368821978569,-0.5446330308914185,"[0.0, 0.0, 0.0, 0.0]",-9.913522720336914,15.101903915405273,0.0,-0.5544613599777222,0.4952602982521057,0.0,309173008,3,369992786,-1220636498,0,65535,65535,64,35510,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,0.3644738793373108,309226,-0.39142554998397827,0.041661981493234634,-0.34644725918769836,-0.8514838814735413,-0.04980263113975525,-0.1009368821978569,-0.5446330308914185,"[0.0, 0.0, 0.0, 0.0]",-9.913522720336914,15.101903915405273,0.0,-0.5544613599777222,0.4952602982521057,0.0,309274005,3,369992793,-1220636500,0,65535,65535,76,35414,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.011121360585093498,309226,-0.39142554998397827,0.041661981493234634,-0.34644725918769836,-0.8514838814735413,-0.04980263113975525,-0.1009368821978569,-0.5446330308914185,"[0.0, 0.0, 0.0, 0.0]",-9.913522720336914,15.101903915405273,0.0,-0.5544613599777222,0.4952602982521057,0.0,309274005,3,369992793,-1220636500,0,65535,65535,76,35414,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.29644179344177246,309226,-0.39142554998397827,0.041661981493234634,-0.34644725918769836,-0.8514838814735413,-0.04980263113975525,-0.1009368821978569,-0.5446330308914185,"[0.0, 0.0, 0.0, 0.0]",-9.913522720336914,15.101903915405273,0.0,-0.5544613599777222,0.4952602982521057,0.0,309274005,3,369992793,-1220636500,0,65535,65535,76,35414,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,0.36499157547950745,309226,-0.39142554998397827,0.041661981493234634,-0.34644725918769836,-0.8514838814735413,-0.04980263113975525,-0.1009368821978569,-0.5446330308914185,"[0.0, 0.0, 0.0, 0.0]",-9.913522720336914,15.101903915405273,0.0,-0.5544613599777222,0.4952602982521057,0.0,309274005,3,369992793,-1220636500,0,65535,65535,76,35414,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,0.36499157547950745,309276,-0.40755486488342285,0.06455899775028229,-0.36353811621665955,-0.8352073431015015,0.2924239933490753,-0.1320968121290207,-0.4695295989513397,"[0.0, 0.0, 0.0, 0.0]",-9.913522720336914,15.101903915405273,0.0,-0.5544613599777222,0.4952602982521057,0.0,309274005,3,369992793,-1220636500,0,65535,65535,76,35414,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,0.36499157547950745,309276,-0.40755486488342285,0.06455899775028229,-0.36353811621665955,-0.8352073431015015,0.2924239933490753,-0.1320968121290207,-0.4695295989513397,"[0.0, 0.0, 0.0, 0.0]",-9.941012382507324,15.127248764038086,0.0,-0.5546413660049438,0.5118892788887024,0.0,309274005,3,369992793,-1220636500,0,65535,65535,76,35414,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.22817964851856232,309276,-0.40755486488342285,0.06455899775028229,-0.36353811621665955,-0.8352073431015015,0.2924239933490753,-0.1320968121290207,-0.4695295989513397,"[0.0, 0.0, 0.0, 0.0]",-9.941012382507324,15.127248764038086,0.0,-0.5546413660049438,0.5118892788887024,0.0,309274005,3,369992793,-1220636500,0,65535,65535,76,35414,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.251572847366333,309276,-0.40755486488342285,0.06455899775028229,-0.36353811621665955,-0.8352073431015015,0.2924239933490753,-0.1320968121290207,-0.4695295989513397,"[0.0, 0.0, 0.0, 0.0]",-9.941012382507324,15.127248764038086,0.0,-0.5546413660049438,0.5118892788887024,0.0,309274005,3,369992793,-1220636500,0,65535,65535,76,35414,255,0,0,0,0,0,0,10,0,192,0,3,3
