mavpackettype,index,frequency,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q,x,y,z,vx,vy,vz,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version,data
LOCAL_POSITION_NED,2,-0.2609301507472992,50044,0.8942457437515259,-0.15441001951694489,0.04339632764458656,0.4178504943847656,0.17497502267360687,0.13449373841285706,-1.2128405570983887,"[0.0, 0.0, 0.0, 0.0]",0.07865626364946365,0.1488618105649948,0.0,0.48430630564689636,0.5566814541816711,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,0,0.07938350737094879,50044,0.8942457437515259,-0.15441001951694489,0.04339632764458656,0.4178504943847656,0.17497502267360687,0.13449373841285706,-1.2128405570983887,"[0.0, 0.0, 0.0, 0.0]",0.07865626364946365,0.1488618105649948,0.0,0.48430630564689636,0.5566814541816711,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,1,0.18676216900348663,50044,0.8942457437515259,-0.15441001951694489,0.04339632764458656,0.4178504943847656,0.17497502267360687,0.13449373841285706,-1.2128405570983887,"[0.0, 0.0, 0.0, 0.0]",0.07865626364946365,0.1488618105649948,0.0,0.48430630564689636,0.5566814541816711,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,2,-0.1866375356912613,50044,0.8942457437515259,-0.15441001951694489,0.04339632764458656,0.4178504943847656,0.17497502267360687,0.13449373841285706,-1.2128405570983887,"[0.0, 0.0, 0.0, 0.0]",0.07865626364946365,0.1488618105649948,0.0,0.48430630564689636,0.5566814541816711,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
ATTITUDE_QUATERNION,2,-0.1866375356912613,50095,0.9067058563232422,-0.1504310965538025,0.03507710248231888,0.39245980978012085,0.23090310394763947,0.07403813302516937,-0.660217821598053,"[0.0, 0.0, 0.0, 0.0]",0.07865626364946365,0.1488618105649948,0.0,0.48430630564689636,0.5566814541816711,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
LOCAL_POSITION_NED,2,-0.1866375356912613,50095,0.9067058563232422,-0.1504310965538025,0.03507710248231888,0.39245980978012085,0.23090310394763947,0.07403813302516937,-0.660217821598053,"[0.0, 0.0, 0.0, 0.0]",0.10301521420478821,0.17506158351898193,0.0,0.4877481460571289,0.5045148134231567,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
GPS_RAW_INT,2,-0.1866375356912613,50095,0.9067058563232422,-0.1504310965538025,0.03507710248231888,0.39245980978012085,0.23090310394763947,0.07403813302516937,-0.660217821598053,"[0.0, 0.0, 0.0, 0.0]",0.10301521420478821,0.17506158351898193,0.0,0.4877481460571289,0.5045148134231567,0.0,50109006,3,369991050,-1220634995,0,65535,65535,65,34767,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,0,0.29260683059692383,50095,0.9067058563232422,-0.1504310965538025,0.03507710248231888,0.39245980978012085,0.23090310394763947,0.07403813302516937,-0.660217821598053,"[0.0, 0.0, 0.0, 0.0]",0.10301521420478821,0.17506158351898193,0.0,0.4877481460571289,0.5045148134231567,0.0,50109006,3,369991050,-1220634995,0,65535,65535,65,34767,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,1,0.24505344033241272,50095,0.9067058563232422,-0.1504310965538025,0.03507710248231888,0.39245980978012085,0.23090310394763947,0.07403813302516937,-0.660217821598053,"[0.0, 0.0, 0.0, 0.0]",0.10301521420478821,0.17506158351898193,0.0,0.4877481460571289,0.5045148134231567,0.0,50109006,3,369991050,-1220634995,0,65535,65535,65,34767,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,2,-0.12968850135803223,50095,0.9067058563232422,-0.1504310965538025,0.03507710248231888,0.39245980978012085,0.23090310394763947,0.07403813302516937,-0.660217821598053,"[0.0, 0.0, 0.0, 0.0]",0.10301521420478821,0.17506158351898193,0.0,0.4877481460571289,0.5045148134231567,0.0,50109006,3,369991050,-1220634995,0,65535,65535,65,34767,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
