mavpackettype,index,frequency,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q,x,y,z,vx,vy,vz,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version,data
RAW_RPM,1,0.0,266693,0.6513720750808716,0.0037394415121525526,0.009278060868382454,-0.7586926221847534,-0.005859133321791887,0.010120321065187454,-0.005326484329998493,"[0.0, 0.0, 0.0, 0.0]",0.05417940020561218,0.6781758666038513,0.0,3.467705028015189e-05,0.00022630483726970851,0.0,266654422,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 32, 0, 0, 1, 1, 0, 1, 31, 0, 0, 103, 214, 3, 0, 38, 173, 38, 63, 198, 119, 13, 59, 17, 241, 20, 60, 175, 74, 66, 191, 226, 67, 183, 187, 141, 183, 120, 60, 111, 161, 11, 187, 26])"
RAW_RPM,2,0.00983665231615305,266693,0.6513720750808716,0.0037394415121525526,0.009278060868382454,-0.7586926221847534,-0.005859133321791887,0.010120321065187454,-0.005326484329998493,"[0.0, 0.0, 0.0, 0.0]",0.05417940020561218,0.6781758666038513,0.0,3.467705028015189e-05,0.00022630483726970851,0.0,266654422,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 32, 0, 0, 1, 1, 0, 1, 31, 0, 0, 103, 214, 3, 0, 38, 173, 38, 63, 198, 119, 13, 59, 17, 241, 20, 60, 175, 74, 66, 191, 226, 67, 183, 187, 141, 183, 120, 60, 111, 161, 11, 187, 26])"
ATTITUDE_QUATERNION,2,0.00983665231615305,266744,0.6518346071243286,0.0030362866818904877,0.010089416056871414,-0.7582879662513733,-0.0066581061109900475,0.014914157800376415,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.05417940020561218,0.6781758666038513,0.0,3.467705028015189e-05,0.00022630483726970851,0.0,266654422,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 32, 0, 0, 1, 1, 0, 1, 31, 0, 0, 103, 214, 3, 0, 38, 173, 38, 63, 198, 119, 13, 59, 17, 241, 20, 60, 175, 74, 66, 191, 226, 67, 183, 187, 141, 183, 120, 60, 111, 161, 11, 187, 26])"
LOCAL_POSITION_NED,2,0.00983665231615305,266745,0.6518346071243286,0.0030362866818904877,0.010089416056871414,-0.7582879662513733,-0.0066581061109900475,0.014914157800376415,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.054183416068553925,0.678202211856842,0.0,6.34244570392184e-05,0.0004169477615505457,0.0,266654422,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 32, 0, 0, 1, 1, 0, 1, 31, 0, 0, 103, 214, 3, 0, 38, 173, 38, 63, 198, 119, 13, 59, 17, 241, 20, 60, 175, 74, 66, 191, 226, 67, 183, 187, 141, 183, 120, 60, 111, 161, 11, 187, 26])"
GPS_RAW_INT,2,0.00983665231615305,266745,0.6518346071243286,0.0030362866818904877,0.010089416056871414,-0.7582879662513733,-0.0066581061109900475,0.014914157800376415,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.054183416068553925,0.678202211856842,0.0,6.34244570392184e-05,0.0004169477615505457,0.0,266755002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 32, 0, 0, 1, 1, 0, 1, 31, 0, 0, 103, 214, 3, 0, 38, 173, 38, 63, 198, 119, 13, 59, 17, 241, 20, 60, 175, 74, 66, 191, 226, 67, 183, 187, 141, 183, 120, 60, 111, 161, 11, 187, 26])"
RAW_RPM,0,0.0003834952076431364,266745,0.6518346071243286,0.0030362866818904877,0.010089416056871414,-0.7582879662513733,-0.0066581061109900475,0.014914157800376415,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.054183416068553925,0.678202211856842,0.0,6.34244570392184e-05,0.0004169477615505457,0.0,266755002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 32, 0, 0, 1, 1, 0, 1, 31, 0, 0, 103, 214, 3, 0, 38, 173, 38, 63, 198, 119, 13, 59, 17, 241, 20, 60, 175, 74, 66, 191, 226, 67, 183, 187, 141, 183, 120, 60, 111, 161, 11, 187, 26])"
RAW_RPM,1,0.0003834952076431364,266745,0.6518346071243286,0.0030362866818904877,0.010089416056871414,-0.7582879662513733,-0.0066581061109900475,0.014914157800376415,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.054183416068553925,0.678202211856842,0.0,6.34244570392184e-05,0.0004169477615505457,0.0,266755002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 32, 0, 0, 1, 1, 0, 1, 31, 0, 0, 103, 214, 3, 0, 38, 173, 38, 63, 198, 119, 13, 59, 17, 241, 20, 60, 175, 74, 66, 191, 226, 67, 183, 187, 141, 183, 120, 60, 111, 161, 11, 187, 26])"
RAW_RPM,2,0.009577793069183826,266745,0.6518346071243286,0.0030362866818904877,0.010089416056871414,-0.7582879662513733,-0.0066581061109900475,0.014914157800376415,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.054183416068553925,0.678202211856842,0.0,6.34244570392184e-05,0.0004169477615505457,0.0,266755002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 32, 0, 0, 1, 1, 0, 1, 31, 0, 0, 103, 214, 3, 0, 38, 173, 38, 63, 198, 119, 13, 59, 17, 241, 20, 60, 175, 74, 66, 191, 226, 67, 183, 187, 141, 183, 120, 60, 111, 161, 11, 187, 26])"
ATTITUDE_QUATERNION,2,0.009577793069183826,266795,0.651761531829834,0.0033450410701334476,0.009942425414919853,-0.7583515048027039,-0.00452751200646162,0.010386645793914795,-0.005326484329998493,"[0.0, 0.0, 0.0, 0.0]",0.054183416068553925,0.678202211856842,0.0,6.34244570392184e-05,0.0004169477615505457,0.0,266755002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 32, 0, 0, 1, 1, 0, 1, 31, 0, 0, 103, 214, 3, 0, 38, 173, 38, 63, 198, 119, 13, 59, 17, 241, 20, 60, 175, 74, 66, 191, 226, 67, 183, 187, 141, 183, 120, 60, 111, 161, 11, 187, 26])"
LOCAL_POSITION_NED,2,0.009577793069183826,266795,0.651761531829834,0.0033450410701334476,0.009942425414919853,-0.7583515048027039,-0.00452751200646162,0.010386645793914795,-0.005326484329998493,"[0.0, 0.0, 0.0, 0.0]",0.05418612062931061,0.6782200336456299,0.0,6.511341052828357e-05,0.00042822008254006505,0.0,266755002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 32, 0, 0, 1, 1, 0, 1, 31, 0, 0, 103, 214, 3, 0, 38, 173, 38, 63, 198, 119, 13, 59, 17, 241, 20, 60, 175, 74, 66, 191, 226, 67, 183, 187, 141, 183, 120, 60, 111, 161, 11, 187, 26])"
