mavpackettype,index,frequency,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q,x,y,z,vx,vy,vz,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
RAW_RPM,1,0.0019174760673195124,174791,0.6484205722808838,-0.0013777089770883322,0.006890624295920134,-0.7612498998641968,-0.004261187743395567,0.013049887493252754,-0.007457078900188208,"[0.0, 0.0, 0.0, 0.0]",0.001286100596189499,0.35245126485824585,0.0,0.00010611677134875208,0.0006592660793103278,0.0,174744437,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,-0.002588592702522874,174791,0.6484205722808838,-0.0013777089770883322,0.006890624295920134,-0.7612498998641968,-0.004261187743395567,0.013049887493252754,-0.007457078900188208,"[0.0, 0.0, 0.0, 0.0]",0.001286100596189499,0.35245126485824585,0.0,0.00010611677134875208,0.0006592660793103278,0.0,174744437,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,-0.002588592702522874,174842,0.6483165621757507,-0.0004382809856906533,0.007263686507940292,-0.761336088180542,-0.0015979454619809985,0.014381508342921734,-0.007723402697592974,"[0.0, 0.0, 0.0, 0.0]",0.001286100596189499,0.35245126485824585,0.0,0.00010611677134875208,0.0006592660793103278,0.0,174744437,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,-0.002588592702522874,174842,0.6483165621757507,-0.0004382809856906533,0.007263686507940292,-0.761336088180542,-0.0015979454619809985,0.014381508342921734,-0.007723402697592974,"[0.0, 0.0, 0.0, 0.0]",0.001292108092457056,0.35248851776123047,0.0,0.00012754998169839382,0.0007910850690677762,0.0,174744437,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,-0.002588592702522874,174842,0.6483165621757507,-0.0004382809856906533,0.007263686507940292,-0.761336088180542,-0.0015979454619809985,0.014381508342921734,-0.007723402697592974,"[0.0, 0.0, 0.0, 0.0]",0.001292108092457056,0.35248851776123047,0.0,0.00012754998169839382,0.0007910850690677762,0.0,174845004,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.0,174842,0.6483165621757507,-0.0004382809856906533,0.007263686507940292,-0.761336088180542,-0.0015979454619809985,0.014381508342921734,-0.007723402697592974,"[0.0, 0.0, 0.0, 0.0]",0.001292108092457056,0.35248851776123047,0.0,0.00012754998169839382,0.0007910850690677762,0.0,174845004,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,-0.0003834952076431364,174842,0.6483165621757507,-0.0004382809856906533,0.007263686507940292,-0.761336088180542,-0.0015979454619809985,0.014381508342921734,-0.007723402697592974,"[0.0, 0.0, 0.0, 0.0]",0.001292108092457056,0.35248851776123047,0.0,0.00012754998169839382,0.0007910850690677762,0.0,174845004,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,-0.00310631119646132,174842,0.6483165621757507,-0.0004382809856906533,0.007263686507940292,-0.761336088180542,-0.0015979454619809985,0.014381508342921734,-0.007723402697592974,"[0.0, 0.0, 0.0, 0.0]",0.001292108092457056,0.35248851776123047,0.0,0.00012754998169839382,0.0007910850690677762,0.0,174845004,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,-0.00310631119646132,174893,0.6481385231018066,-0.000598256359808147,0.006703878752887249,-0.7614927291870117,-0.0066581061109900475,0.013049887493252754,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",0.001292108092457056,0.35248851776123047,0.0,0.00012754998169839382,0.0007910850690677762,0.0,174845004,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,-0.00310631119646132,174893,0.6481385231018066,-0.000598256359808147,0.006703878752887249,-0.7614927291870117,-0.0066581061109900475,0.013049887493252754,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",0.001294333371333778,0.3525022864341736,0.0,0.00010659638064680621,0.0006591886631213129,0.0,174845004,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,-0.0011504855938255787,174893,0.6481385231018066,-0.000598256359808147,0.006703878752887249,-0.7614927291870117,-0.0066581061109900475,0.013049887493252754,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",0.001294333371333778,0.3525022864341736,0.0,0.00010659638064680621,0.0006591886631213129,0.0,174845004,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,-0.0003834952076431364,174893,0.6481385231018066,-0.000598256359808147,0.006703878752887249,-0.7614927291870117,-0.0066581061109900475,0.013049887493252754,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",0.001294333371333778,0.3525022864341736,0.0,0.00010659638064680621,0.0006591886631213129,0.0,174845004,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,-0.002588592702522874,174893,0.6481385231018066,-0.000598256359808147,0.006703878752887249,-0.7614927291870117,-0.0066581061109900475,0.013049887493252754,-0.006125457119196653,"[0.0, 0.0, 0.0, 0.0]",0.001294333371333778,0.3525022864341736,0.0,0.00010659638064680621,0.0006591886631213129,0.0,174845004,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,-0.002588592702522874,174944,0.6478652954101562,-0.0007603074773214757,0.005939987953752279,-0.7617313861846924,-0.003728539450094104,0.013316212221980095,-0.007989726960659027,"[0.0, 0.0, 0.0, 0.0]",0.001294333371333778,0.3525022864341736,0.0,0.00010659638064680621,0.0006591886631213129,0.0,174845004,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,-0.002588592702522874,174945,0.6478652954101562,-0.0007603074773214757,0.005939987953752279,-0.7617313861846924,-0.003728539450094104,0.013316212221980095,-0.007989726960659027,"[0.0, 0.0, 0.0, 0.0]",0.0013011508854106069,0.35254430770874023,0.0,0.00012857165711466223,0.0007909195846877992,0.0,174845004,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,-0.002588592702522874,174945,0.6478652954101562,-0.0007603074773214757,0.005939987953752279,-0.7617313861846924,-0.003728539450094104,0.013316212221980095,-0.007989726960659027,"[0.0, 0.0, 0.0, 0.0]",0.0013011508854106069,0.35254430770874023,0.0,0.00012857165711466223,0.0007909195846877992,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,-0.0003834952076431364,174945,0.6478652954101562,-0.0007603074773214757,0.005939987953752279,-0.7617313861846924,-0.003728539450094104,0.013316212221980095,-0.007989726960659027,"[0.0, 0.0, 0.0, 0.0]",0.0013011508854106069,0.35254430770874023,0.0,0.00012857165711466223,0.0007909195846877992,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.0007669904152862728,174945,0.6478652954101562,-0.0007603074773214757,0.005939987953752279,-0.7617313861846924,-0.003728539450094104,0.013316212221980095,-0.007989726960659027,"[0.0, 0.0, 0.0, 0.0]",0.0013011508854106069,0.35254430770874023,0.0,0.00012857165711466223,0.0007909195846877992,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,-0.002588592702522874,174945,0.6478652954101562,-0.0007603074773214757,0.005939987953752279,-0.7617313861846924,-0.003728539450094104,0.013316212221980095,-0.007989726960659027,"[0.0, 0.0, 0.0, 0.0]",0.0013011508854106069,0.35254430770874023,0.0,0.00012857165711466223,0.0007909195846877992,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,-0.002588592702522874,174995,0.6475008130073547,-0.0006986099760979414,0.005089535377919674,-0.762047529220581,-0.005592809058725834,0.016245778650045395,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.0013011508854106069,0.35254430770874023,0.0,0.00012857165711466223,0.0007909195846877992,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,-0.002588592702522874,174995,0.6475008130073547,-0.0006986099760979414,0.005089535377919674,-0.762047529220581,-0.005592809058725834,0.016245778650045395,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.0013058844488114119,0.3525732755661011,0.0,0.00012926102499477565,0.0007908073021098971,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
HEARTBEAT,2,-0.002588592702522874,174995,0.6475008130073547,-0.0006986099760979414,0.005089535377919674,-0.762047529220581,-0.005592809058725834,0.016245778650045395,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.0013058844488114119,0.3525732755661011,0.0,0.00012926102499477565,0.0007908073021098971,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,0,0.0015339808305725455,174995,0.6475008130073547,-0.0006986099760979414,0.005089535377919674,-0.762047529220581,-0.005592809058725834,0.016245778650045395,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.0013058844488114119,0.3525732755661011,0.0,0.00012926102499477565,0.0007908073021098971,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,1,0.0003834952076431364,174995,0.6475008130073547,-0.0006986099760979414,0.005089535377919674,-0.762047529220581,-0.005592809058725834,0.016245778650045395,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.0013058844488114119,0.3525732755661011,0.0,0.00012926102499477565,0.0007908073021098971,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_RPM,2,-0.0028474521823227406,174995,0.6475008130073547,-0.0006986099760979414,0.005089535377919674,-0.762047529220581,-0.005592809058725834,0.016245778650045395,-0.008788700215518475,"[0.0, 0.0, 0.0, 0.0]",0.0013058844488114119,0.3525732755661011,0.0,0.00012926102499477565,0.0007908073021098971,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
ATTITUDE_QUATERNION,2,-0.0028474521823227406,175046,0.647720456123352,-0.00044241969590075314,0.006309533026069403,-0.7618519067764282,-0.0015979454619809985,0.013582535088062286,-0.00452751200646162,"[0.0, 0.0, 0.0, 0.0]",0.0013058844488114119,0.3525732755661011,0.0,0.00012926102499477565,0.0007908073021098971,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
LOCAL_POSITION_NED,2,-0.0028474521823227406,175046,0.647720456123352,-0.00044241969590075314,0.006309533026069403,-0.7618519067764282,-0.0015979454619809985,0.013582535088062286,-0.00452751200646162,"[0.0, 0.0, 0.0, 0.0]",0.0013119938084855676,0.35261061787605286,0.0,0.00011733641440514475,0.0007189441239461303,0.0,174946002,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,2,-0.0028474521823227406,175046,0.647720456123352,-0.00044241969590075314,0.006309533026069403,-0.7618519067764282,-0.0015979454619809985,0.013582535088062286,-0.00452751200646162,"[0.0, 0.0, 0.0, 0.0]",0.0013119938084855676,0.35261061787605286,0.0,0.00011733641440514475,0.0007189441239461303,0.0,175047005,3,0,0,0,65535,65535,0,0,255,0,0,0,0,0,0,10,0,192,0,3,3
