mavpackettype,time_boot_ms,port,chan1_raw,chan2_raw,chan3_raw,chan4_raw,chan5_raw,chan6_raw,chan7_raw,chan8_raw,rssi,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature,chan1_scaled,chan2_scaled,chan3_scaled,chan4_scaled,chan5_scaled,chan6_scaled,chan7_scaled,chan8_scaled,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
RAW_IMU,136952,0,172,992,934,950,992,1811,992,1811,255,136952144,-104,130,16674,-29,53,-9,69,-90,-298,0,64,0,0,-2,1730,-1,-1,-1,-1,3,369989828,-1220636041,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,136952,1,172,992,934,950,992,1811,992,1811,255,136952144,-104,130,16674,-29,53,-9,69,-90,-298,0,64,-3,-2,-2,1731,-1,-1,-1,-1,3,369989828,-1220636041,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,136972,0,172,992,934,950,992,1811,992,1811,255,136952144,-104,130,16674,-29,53,-9,69,-90,-298,0,64,-3,-2,-2,1731,-1,-1,-1,-1,3,369989828,-1220636041,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,136972,0,172,992,934,950,992,1811,992,1811,255,136972141,-109,252,16719,-42,67,-25,58,-76,-302,0,64,-3,-2,-2,1731,-1,-1,-1,-1,3,369989828,-1220636041,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,136972,1,172,992,934,950,992,1811,992,1811,255,136972141,-109,252,16719,-42,67,-25,58,-76,-302,0,64,2,2,-4,1729,-1,-1,-1,-1,3,369989828,-1220636041,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,136992,0,172,992,934,950,992,1811,992,1811,255,136972141,-109,252,16719,-42,67,-25,58,-76,-302,0,64,2,2,-4,1729,-1,-1,-1,-1,3,369989828,-1220636041,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,136992,0,172,992,934,950,992,1811,992,1811,255,136992145,-92,234,16673,-41,60,-26,66,-81,-300,0,96,2,2,-4,1729,-1,-1,-1,-1,3,369989828,-1220636041,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,136992,1,172,992,934,950,992,1811,992,1811,255,136992145,-92,234,16673,-41,60,-26,66,-81,-300,0,96,0,2,-2,1731,-1,-1,-1,-1,3,369989828,-1220636041,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
HEARTBEAT,136992,1,172,992,934,950,992,1811,992,1811,255,136992145,-92,234,16673,-41,60,-26,66,-81,-300,0,96,0,2,-2,1731,-1,-1,-1,-1,3,369989828,-1220636041,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,136992,1,172,992,934,950,992,1811,992,1811,255,137006008,-92,234,16673,-41,60,-26,66,-81,-300,0,96,0,2,-2,1731,-1,-1,-1,-1,3,369989826,-1220636045,0,65535,65535,1,0,255,0,0,0,0,0,0,10,0,192,0,3,3
