mavpackettype,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,abs_pressure,diff_pressure,pressure_alt,temperature,fields_updated,id
HIGHRES_IMU,141015355,0.115386962890625,0.564422607421875,9.923492431640625,-0.30517578125,1.0528564453125,-0.823974609375,0.169403076171875,0.146026611328125,-0.541778564453125,0.0,0.0,0.0,27.37371826171875,0,0
HIGHRES_IMU,141036360,0.10821533203125,0.5333251953125,9.90496826171875,-0.1983642578125,0.701904296875,-0.6256103515625,0.169403076171875,0.13580322265625,-0.53448486328125,0.0,0.0,0.0,27.421630859375,0,0
HIGHRES_IMU,141057357,0.1165771484375,0.508209228515625,9.961151123046875,-0.6561279296875,0.8087158203125,-0.640869140625,0.163543701171875,0.15478515625,-0.53009033203125,0.0,0.0,0.0,27.709197998046875,0,0
HIGHRES_IMU,141078355,0.1524658203125,0.566802978515625,9.918121337890625,0.1983642578125,0.7171630859375,-0.6103515625,0.17669677734375,0.146026611328125,-0.53155517578125,0.0,0.0,0.0,27.421630859375,0,0
HIGHRES_IMU,141099357,0.1470947265625,0.555450439453125,9.938446044921875,-0.396728515625,1.2359619140625,-0.7171630859375,0.15478515625,0.147491455078125,-0.53594970703125,0.0,0.0,0.0,27.61334228515625,0,0
HIGHRES_IMU,141120354,0.109405517578125,0.582366943359375,9.889404296875,-0.1220703125,0.8392333984375,-0.6866455078125,0.166473388671875,0.144561767578125,-0.53302001953125,0.0,0.0,0.0,27.5654296875,0,0
HIGHRES_IMU,141141357,0.12615966796875,0.5399169921875,9.897186279296875,-0.274658203125,0.9918212890625,-0.5340576171875,0.163543701171875,0.127044677734375,-0.554931640625,0.0,0.0,0.0,27.61334228515625,0,0
HIGHRES_IMU,141162376,0.094482421875,0.537506103515625,9.929473876953125,-0.18310546875,0.8392333984375,-0.5645751953125,0.17230224609375,0.13873291015625,-0.53155517578125,0.0,0.0,0.0,27.709197998046875,0,0
HIGHRES_IMU,141183357,0.104034423828125,0.539306640625,9.902557373046875,-0.1678466796875,0.885009765625,-0.7171630859375,0.166473388671875,0.147491455078125,-0.53009033203125,0.0,0.0,0.0,27.5654296875,0,0
HIGHRES_IMU,141204357,0.08251953125,0.56024169921875,9.9366455078125,-0.335693359375,0.6561279296875,-0.823974609375,0.169403076171875,0.131439208984375,-0.541778564453125,0.0,0.0,0.0,27.90087890625,0,0
HIGHRES_IMU,141225360,0.12554931640625,0.556060791015625,9.900787353515625,0.0152587890625,0.7476806640625,-0.8087158203125,0.17523193359375,0.13433837890625,-0.540313720703125,0.0,0.0,0.0,27.37371826171875,0,0
HIGHRES_IMU,141246358,0.10882568359375,0.55126953125,9.856536865234375,-0.3662109375,0.48828125,-0.6866455078125,0.163543701171875,0.13726806640625,-0.543243408203125,0.0,0.0,0.0,27.757110595703125,0,0
HIGHRES_IMU,141267368,0.101043701171875,0.559051513671875,9.9193115234375,-0.0457763671875,0.8087158203125,-0.762939453125,0.165008544921875,0.143096923828125,-0.52716064453125,0.0,0.0,0.0,27.421630859375,0,0
HIGHRES_IMU,141288357,0.15185546875,0.543487548828125,9.88641357421875,-0.2899169921875,0.732421875,-0.7781982421875,0.166473388671875,0.13433837890625,-0.525726318359375,0.0,0.0,0.0,27.5654296875,0,0
HIGHRES_IMU,141309356,0.15545654296875,0.535125732421875,9.92291259765625,-0.0457763671875,0.79345703125,-0.7781982421875,0.1591796875,0.13726806640625,-0.540313720703125,0.0,0.0,0.0,27.757110595703125,0,0
HIGHRES_IMU,141330360,0.1231689453125,0.54229736328125,9.921112060546875,-0.18310546875,0.762939453125,-0.732421875,0.15771484375,0.13580322265625,-0.53155517578125,0.0,0.0,0.0,27.517486572265625,0,0
HIGHRES_IMU,141351354,0.1578369140625,0.54290771484375,9.92529296875,-0.2593994140625,0.6103515625,-0.7781982421875,0.169403076171875,0.1533203125,-0.53155517578125,0.0,0.0,0.0,27.709197998046875,0,0
HIGHRES_IMU,141372367,0.135711669921875,0.520782470703125,9.8953857421875,-0.640869140625,0.9307861328125,-0.54931640625,0.165008544921875,0.13873291015625,-0.53155517578125,0.0,0.0,0.0,27.61334228515625,0,0
HIGHRES_IMU,141393354,0.14410400390625,0.5865478515625,9.9306640625,-0.0457763671875,0.6256103515625,-0.823974609375,0.17816162109375,0.127044677734375,-0.53594970703125,0.0,0.0,0.0,27.37371826171875,0,0
HIGHRES_IMU,141414355,0.11419677734375,0.575775146484375,9.909149169921875,-0.2899169921875,0.9002685546875,-0.6866455078125,0.15771484375,0.131439208984375,-0.52716064453125,0.0,0.0,0.0,27.709197998046875,0,0
HIGHRES_IMU,141435355,0.127349853515625,0.5345458984375,9.95819091796875,-0.274658203125,0.732421875,-0.701904296875,0.15478515625,0.129974365234375,-0.547607421875,0.0,0.0,0.0,27.517486572265625,0,0
HIGHRES_IMU,141456358,0.127349853515625,0.5919189453125,9.93963623046875,-0.0762939453125,0.885009765625,-0.732421875,0.163543701171875,0.14019775390625,-0.53302001953125,0.0,0.0,0.0,27.517486572265625,0,0
HIGHRES_IMU,141477358,0.138702392578125,0.53155517578125,9.907958984375,-0.244140625,0.91552734375,-0.6256103515625,0.1533203125,0.13580322265625,-0.53448486328125,0.0,0.0,0.0,27.61334228515625,0,0
HIGHRES_IMU,141498356,0.121978759765625,0.57757568359375,9.905548095703125,-0.244140625,0.7476806640625,-0.8544921875,0.166473388671875,0.129974365234375,-0.53009033203125,0.0,0.0,0.0,27.5654296875,0,0
