mavpackettype,data,reason
BAD_DATA,"array('B', [253, 231, 244, 70, 31, 4, 32, 239, 31, 4, 32, 239, 49, 35, 69, 67, 69, 32, 239, 32, 239, 32, 239, 75, 10, 104, 26, 66, 1, 208, 11, 96, 147, 231, 111, 79, 112, 78, 15, 207, 176, 66, 7, 209, 89, 64, 64, 24, 4, 209, 16, 63, 56, 96, 130, 243, 8, 136, 152, 71, 2, 240, 225, 249, 32, 191, 33, 109, 137, 8, 251, 211, 96, 101, 64, 191, 110, 28, 48, 71, 97, 76, 101, 79, 4, 33, 57, 97, 161, 109, 33, 109, 73, 8, 251, 210, 11, 165, 66, 3, 208, 67, 136, 4, 48, 145, 66, 247, 209, 24, 28, 112, 71, 48, 191, 253, 231, 244, 70, 31, 4, 32, 239, 31, 4, 32, 239, 49, 35, 69, 67, 69, 32, 239, 32, 239, 2, 122, 38, 85, 66, 181, 37, 68, 84, 133, 1, 68, 69, 139, 1, 87, 86, 55, 1, 73, 70, 161, 36, 69, 88, 245, 35, 82, 69, 125, 35, 82, 80, 197, 35, 70, 67, 97, 35, 67, 88, 49, 35, 69, 67, 69, 75, 10, 104, 26, 66, 1, 208, 11, 96, 147, 231, 111, 79, 112, 78, 15, 207, 176, 66, 7, 209, 89, 64, 64, 24, 4, 209, 16, 63, 56, 96, 130, 243, 8, 136, 152, 71, 2, 240, 225, 249, 32, 191, 33, 109, 137, 8, 251, 211, 96, 101, 64, 191, 110, 28, 48, 71, 97, 76, 101, 79])",invalid incompat_flags 0xf4 0xfd 12
BAD_DATA,bytearray(b'\x04'),Bad prefix
BAD_DATA,bytearray(b'!'),Bad prefix
BAD_DATA,bytearray(b'9'),Bad prefix
BAD_DATA,bytearray(b'a'),Bad prefix
BAD_DATA,bytearray(b'\xa1'),Bad prefix
BAD_DATA,bytearray(b'm'),Bad prefix
BAD_DATA,bytearray(b'!'),Bad prefix
BAD_DATA,bytearray(b'm'),Bad prefix
BAD_DATA,bytearray(b'I'),Bad prefix
BAD_DATA,bytearray(b'\x08'),Bad prefix
BAD_DATA,bytearray(b'\xfb'),Bad prefix
BAD_DATA,bytearray(b'\xd2'),Bad prefix
BAD_DATA,bytearray(b'\x0b'),Bad prefix
BAD_DATA,bytearray(b'\xa5'),Bad prefix
BAD_DATA,bytearray(b'\x03'),Bad prefix
BAD_DATA,bytearray(b'\xd0'),Bad prefix
BAD_DATA,bytearray(b'C'),Bad prefix
BAD_DATA,bytearray(b'\x88'),Bad prefix
BAD_DATA,bytearray(b'\x04'),Bad prefix
BAD_DATA,bytearray(b'0'),Bad prefix
BAD_DATA,bytearray(b'\x91'),Bad prefix
BAD_DATA,bytearray(b'B'),Bad prefix
BAD_DATA,bytearray(b'\xf7'),Bad prefix
BAD_DATA,bytearray(b'\xd1'),Bad prefix
BAD_DATA,bytearray(b'\x18'),Bad prefix
BAD_DATA,bytearray(b'\x1c'),Bad prefix
BAD_DATA,bytearray(b'p'),Bad prefix
BAD_DATA,bytearray(b'G'),Bad prefix
BAD_DATA,bytearray(b'0'),Bad prefix
BAD_DATA,bytearray(b'\xbf'),Bad prefix
