,mag,COG
0,336.8777699424304,25.47
1,336.8777699424304,25.47
2,336.8777699424304,18.23
3,336.8777699424304,18.23
4,332.9981529596911,18.23
5,332.9981529596911,18.23
6,332.9981529596911,18.23
7,330.7572606732522,18.23
8,330.7572606732522,18.23
9,330.7572606732522,18.23
10,330.7572606732522,18.23
11,333.5335837869708,18.23
12,333.5335837869708,18.23
13,333.5335837869708,18.23
14,332.0289898480187,18.23
15,332.0289898480187,18.23
16,332.0289898480187,18.23
17,335.5901606769801,18.23
18,335.5901606769801,18.23
19,335.5901606769801,11.53
20,335.5901606769801,11.53
21,335.696862845857,11.53
22,335.696862845857,11.53
23,335.696862845857,11.53
24,334.69490436598176,11.53
25,334.69490436598176,11.53
26,334.69490436598176,11.53
27,335.78859970555095,11.53
28,335.78859970555095,11.53
29,335.78859970555095,11.53
30,332.72613639201734,11.53
31,332.72613639201734,11.53
32,332.72613639201734,11.53
33,330.56620900579816,11.53
34,330.56620900579816,11.53
35,330.56620900579816,6.55
36,330.56620900579816,6.55
37,332.72613639201734,6.55
38,332.72613639201734,6.55
39,332.72613639201734,6.55
40,332.7163187753353,6.55
41,332.7163187753353,6.55
42,332.7163187753353,6.55
43,339.739036972504,6.55
44,339.739036972504,6.55
45,339.739036972504,6.55
46,342.38842280266476,6.55
47,342.38842280266476,6.55
48,342.38842280266476,6.55
49,338.5048403482351,6.55
50,338.5048403482351,6.55
51,338.5048403482351,359.54
52,338.5048403482351,359.54
53,338.95715420784296,359.54
54,338.95715420784296,359.54
55,338.95715420784296,359.54
56,337.738286626281,359.54
57,337.738286626281,359.54
58,337.738286626281,359.54
59,337.46082041949467,359.54
60,337.46082041949467,359.54
61,337.46082041949467,359.54
62,345.79983847789407,359.54
63,345.79983847789407,359.54
64,345.79983847789407,359.54
65,343.7258522375999,359.54
66,343.7258522375999,359.54
67,343.7258522375999,359.38
68,343.7258522375999,359.38
69,351.7285537293792,359.38
70,351.7285537293792,359.38
71,351.7285537293792,359.38
72,349.42671151385315,359.38
73,349.42671151385315,359.38
74,349.42671151385315,359.38
75,351.10470318230847,359.38
76,351.10470318230847,359.38
77,351.10470318230847,359.38
78,348.007508886965,359.38
79,348.007508886965,359.38
80,348.007508886965,359.38
81,347.7666125740829,359.38
82,347.7666125740829,359.38
83,347.7666125740829,358.54
84,347.7666125740829,358.54
85,353.62218521339366,358.54
86,353.62218521339366,358.54
87,353.62218521339366,358.54
88,354.51403425265573,358.54
89,354.51403425265573,358.54
90,354.51403425265573,358.54
91,361.3634482243443,358.54
92,361.3634482243443,358.54
93,361.3634482243443,358.54
94,359.4173954683632,358.54
95,359.4173954683632,358.54
96,359.4173954683632,358.54
97,358.4603430871573,358.54
98,358.4603430871573,358.54
99,358.4603430871573,359.67
100,358.4603430871573,359.67
101,361.4183642290045,359.67
102,361.4183642290045,359.67
103,361.4183642290045,359.67
104,364.9539458006752,359.67
105,364.9539458006752,359.67
106,364.9539458006752,359.67
107,367.43988873589063,359.67
108,367.43988873589063,359.67
109,367.43988873589063,359.67
110,371.3507466905652,359.67
111,371.3507466905652,359.67
112,371.3507466905652,359.67
113,13.109122085090803,359.67
114,13.109122085090803,359.67
115,13.109122085090803,1.44
116,13.109122085090803,1.44
117,368.4669936200205,1.44
118,368.4669936200205,1.44
119,368.4669936200205,1.44
120,370.28938597239846,1.44
121,370.28938597239846,1.44
122,370.28938597239846,1.44
123,370.3245628719079,1.44
124,370.3245628719079,1.44
125,370.3245628719079,1.44
126,370.3693163430222,1.44
127,370.3693163430222,1.44
128,370.3693163430222,1.44
129,15.896650115107263,1.44
130,15.896650115107263,1.44
131,15.896650115107263,5.51
132,15.896650115107263,5.51
133,19.918002492110674,5.51
134,19.918002492110674,5.51
135,19.918002492110674,5.51
136,18.53969886245477,5.51
137,18.53969886245477,5.51
138,18.53969886245477,5.51
139,23.209559569061355,5.51
140,23.209559569061355,5.51
141,23.209559569061355,5.51
142,23.209559569061355,5.51
143,23.209559569061355,5.51
144,23.209559569061355,5.51
145,34.13955511324241,5.51
146,34.13955511324241,5.51
147,34.13955511324241,9.81
148,34.13955511324241,9.81
149,32.54898213930275,9.81
150,32.54898213930275,9.81
151,32.54898213930275,9.81
152,32.77935283921181,9.81
153,32.77935283921181,9.81
154,32.77935283921181,9.81
155,34.321397545187324,9.81
156,34.321397545187324,9.81
157,34.321397545187324,9.81
158,37.44715171498697,9.81
159,37.44715171498697,9.81
160,37.44715171498697,9.81
161,38.15011118250709,9.81
162,38.15011118250709,9.81
163,38.15011118250709,9.81
164,43.22077158676629,9.81
165,43.22077158676629,9.81
166,43.22077158676629,17.82
167,43.22077158676629,17.82
168,44.742758112973405,17.82
169,44.742758112973405,17.82
170,44.742758112973405,17.82
171,44.742758112973405,17.82
172,45.67079074084441,17.82
173,45.67079074084441,17.82
174,45.67079074084441,17.82
175,49.0285215482447,17.82
176,49.0285215482447,17.82
177,49.0285215482447,17.82
178,49.86926857598772,17.82
179,49.86926857598772,17.82
180,49.86926857598772,17.82
181,48.63197935516979,17.82
182,48.63197935516979,17.82
183,48.63197935516979,23.65
184,48.63197935516979,23.65
185,54.9236863000075,23.65
186,54.9236863000075,23.65
187,54.9236863000075,23.65
188,56.447394098329895,23.65
189,56.447394098329895,23.65
190,56.447394098329895,23.65
191,57.35732490885296,23.65
192,57.35732490885296,23.65
193,57.35732490885296,23.65
194,62.737143428215646,23.65
195,62.737143428215646,23.65
196,62.737143428215646,23.65
197,62.092944518756966,23.65
198,62.092944518756966,23.65
199,62.092944518756966,30.3
200,62.092944518756966,30.3
201,65.5979436016273,30.3
202,65.5979436016273,30.3
203,65.5979436016273,30.3
204,65.5979436016273,30.3
205,65.5979436016273,30.3
206,65.5979436016273,30.3
207,71.80433856638993,30.3
208,71.80433856638993,30.3
209,71.80433856638993,30.3
210,67.89211929635847,30.3
211,67.89211929635847,30.3
212,67.89211929635847,30.3
213,79.81407825454308,30.3
214,79.81407825454308,30.3
215,79.81407825454308,36.34
216,79.81407825454308,36.34
217,75.93646036154175,36.34
218,75.93646036154175,36.34
219,75.93646036154175,36.34
220,78.43677548929037,36.34
221,78.43677548929037,36.34
222,78.43677548929037,36.34
223,76.37987356306137,36.34
224,76.37987356306137,36.34
225,76.37987356306137,36.34
226,81.8230642821834,36.34
227,81.8230642821834,36.34
228,81.8230642821834,36.34
229,80.55632137485283,36.34
230,80.55632137485283,36.34
231,80.55632137485283,43.74
232,80.55632137485283,43.74
