mavpackettype,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,abs_pressure,diff_pressure,pressure_alt,temperature,fields_updated,id
HIGHRES_IMU,1288014358,-0.145294189453125,-0.042449951171875,9.92767333984375,-1.28173828125,0.6561279296875,0.152587890625,0.36944580078125,0.09783935546875,-0.37530517578125,0.0,0.0,0.0,32.2618408203125,0,0
HIGHRES_IMU,1288035355,-0.129150390625,-0.039459228515625,9.888214111328125,-1.373291015625,0.6561279296875,0.30517578125,0.37677001953125,0.10223388671875,-0.37530517578125,0.0,0.0,0.0,32.166015625,0,0
HIGHRES_IMU,1288056358,-0.124359130859375,0.010772705078125,9.885833740234375,-1.2664794921875,0.885009765625,0.2593994140625,0.388458251953125,0.105133056640625,-0.360687255859375,0.0,0.0,0.0,31.734710693359375,0,0
HIGHRES_IMU,1288077358,-0.154266357421875,0.024505615234375,9.919921875,-0.9307861328125,0.701904296875,0.1983642578125,0.385528564453125,0.106597900390625,-0.36944580078125,0.0,0.0,0.0,32.309783935546875,0,0
HIGHRES_IMU,1288098358,-0.127960205078125,0.00897216796875,9.932464599609375,-0.8087158203125,0.7476806640625,0.457763671875,0.37823486328125,0.1138916015625,-0.366546630859375,0.0,0.0,0.0,32.309783935546875,0,0
HIGHRES_IMU,1288119357,-0.139312744140625,-0.040069580078125,9.95458984375,-0.7781982421875,0.79345703125,0.48828125,0.382598876953125,0.1138916015625,-0.362152099609375,0.0,0.0,0.0,31.97430419921875,0,0
HIGHRES_IMU,1288140358,-0.101043701171875,0.01434326171875,9.93365478515625,-0.732421875,0.640869140625,0.579833984375,0.37823486328125,0.103668212890625,-0.3563232421875,0.0,0.0,0.0,32.309783935546875,0,0
HIGHRES_IMU,1288161358,-0.13153076171875,-0.03167724609375,9.9312744140625,-0.885009765625,0.823974609375,0.30517578125,0.365081787109375,0.109527587890625,-0.360687255859375,0.0,0.0,0.0,32.166015625,0,0
HIGHRES_IMU,1288182358,-0.098052978515625,0.03289794921875,9.88165283203125,-0.6256103515625,0.762939453125,0.2593994140625,0.3548583984375,0.110992431640625,-0.366546630859375,0.0,0.0,0.0,32.309783935546875,0,0
HIGHRES_IMU,1288203357,-0.121368408203125,0.046630859375,9.914520263671875,-1.03759765625,0.732421875,0.335693359375,0.366546630859375,0.106597900390625,-0.3519287109375,0.0,0.0,0.0,32.309783935546875,0,0
HIGHRES_IMU,1288224358,-0.113616943359375,-0.075347900390625,9.950408935546875,-1.1138916015625,0.7171630859375,0.3662109375,0.37677001953125,0.105133056640625,-0.368011474609375,0.0,0.0,0.0,32.2618408203125,0,0
HIGHRES_IMU,1288245357,-0.150665283203125,0.021514892578125,9.949798583984375,-0.579833984375,0.91552734375,0.244140625,0.379669189453125,0.109527587890625,-0.368011474609375,0.0,0.0,0.0,31.782623291015625,0,0
HIGHRES_IMU,1288266357,-0.09326171875,0.02392578125,9.9259033203125,-0.7476806640625,0.6256103515625,0.4730224609375,0.37530517578125,0.110992431640625,-0.36944580078125,0.0,0.0,0.0,32.118072509765625,0,0
HIGHRES_IMU,1288287360,-0.172210693359375,-0.044830322265625,9.92291259765625,-0.9613037109375,0.701904296875,0.2288818359375,0.365081787109375,0.09783935546875,-0.365081787109375,0.0,0.0,0.0,32.2618408203125,0,0
HIGHRES_IMU,1288308358,-0.145904541015625,-0.004180908203125,9.88763427734375,-0.823974609375,0.9002685546875,0.152587890625,0.384063720703125,0.109527587890625,-0.3577880859375,0.0,0.0,0.0,32.309783935546875,0,0
HIGHRES_IMU,1288329355,-0.11419677734375,0.051422119140625,9.927093505859375,-1.03759765625,1.0223388671875,0.1068115234375,0.37823486328125,0.10076904296875,-0.3519287109375,0.0,0.0,0.0,31.97430419921875,0,0
HIGHRES_IMU,1288350356,-0.151275634765625,0.0579833984375,9.92230224609375,-1.190185546875,0.701904296875,0.2288818359375,0.37530517578125,0.110992431640625,-0.3563232421875,0.0,0.0,0.0,31.9263916015625,0,0
HIGHRES_IMU,1288371357,-0.092071533203125,-0.02569580078125,9.93963623046875,-1.28173828125,0.7171630859375,0.274658203125,0.37823486328125,0.106597900390625,-0.359222412109375,0.0,0.0,0.0,32.166015625,0,0
HIGHRES_IMU,1288392359,-0.138702392578125,-0.028106689453125,9.931854248046875,-0.9613037109375,0.8087158203125,0.1678466796875,0.37677001953125,0.1153564453125,-0.365081787109375,0.0,0.0,0.0,32.070159912109375,0,0
HIGHRES_IMU,1288413358,-0.1405029296875,-0.016143798828125,9.91033935546875,-0.4730224609375,0.7171630859375,0.2288818359375,0.37530517578125,0.103668212890625,-0.366546630859375,0.0,0.0,0.0,32.166015625,0,0
HIGHRES_IMU,1288434357,-0.133941650390625,-0.053802490234375,9.907958984375,-0.8392333984375,1.0528564453125,0.1373291015625,0.37091064453125,0.09637451171875,-0.366546630859375,0.0,0.0,0.0,32.166015625,0,0
HIGHRES_IMU,1288455358,-0.1351318359375,-0.0059814453125,9.890625,-0.4730224609375,0.946044921875,0.1983642578125,0.37823486328125,0.10076904296875,-0.366546630859375,0.0,0.0,0.0,32.070159912109375,0,0
HIGHRES_IMU,1288476354,-0.150665283203125,0.0179443359375,9.924102783203125,-0.67138671875,0.79345703125,0.3204345703125,0.366546630859375,0.110992431640625,-0.366546630859375,0.0,0.0,0.0,32.2618408203125,0,0
HIGHRES_IMU,1288497359,-0.1763916015625,-0.0579833984375,9.933074951171875,-1.1138916015625,0.79345703125,0.0762939453125,0.37823486328125,0.10076904296875,-0.3563232421875,0.0,0.0,0.0,32.070159912109375,0,0
